OH,OWB
40,10
256,52
20,4
13,4
4,7
3,2
20,8
208,42
21,42
80,16
40,8
160,32
14,3
224,45
24,16
13,7
77,26
40,8
32,8
56,12
7,2
104,26
13,4
40,8
80,16
8,6
80,16
40,8
224,45
20,4
40,8
120,32
40,10
32,8
80,16
20,4
80,16
80,20
80,16
56,20
112,45
64,32
40,8
4,4
120,64
52,13
26,8
231,52
160,40
4,5
52,13
10,2
12,4
160,32
480,160
26,11
8,3
160,40
24,32
72,16
40,8
56,12
40,8
14,3
160,32
192,160
16,40
40,16
128,32
6,2
80,20
20,5
20,4
336,160
120,32
48,32
80,32
40,8
64,13
8,2
108,32
4,4
32,7
28,6
108,32
36,32
96,64
26,6
52,13
20,4
256,52
120,32
20,4
480,128
84,32
3,6
23,8
18,4
4,8
8,8
