OH,OWB
32,8
32,8
32,8
64,32
64,32
64,32
13,3
13,3
13,3
26,6
26,6
26,6
96,40
96,40
96,40
103,52
103,52
103,52
20,4
20,4
20,4
128,32
128,32
128,32
40,8
40,8
40,8
160,32
160,32
160,32
10,2
10,2
10,2
14,3
14,3
14,3
56,12
56,12
56,12
28,6
28,6
28,6
144,160
144,160
144,160
6,6
6,6
6,6
10,2
10,2
10,2
4,4
4,4
4,4
144,40
144,40
144,40
16,16
16,16
16,16
18,4
18,4
18,4
40,8
40,8
40,8
47,11
47,11
47,11
8,8
8,8
8,8
80,16
80,16
80,16
144,32
144,32
144,32
20,4
20,4
20,4
28,10
28,10
28,10
10,2
10,2
10,2
32,8
32,8
32,8
160,32
160,32
160,32
160,40
160,40
160,40
24,10
24,10
24,10
40,10
40,10
40,10
40,8
40,8
40,8
160,32
160,32
160,32
20,4
20,4
20,4
32,8
32,8
32,8
80,20
80,20
80,20
20,4
20,4
20,4
202,45
202,45
202,45
40,8
40,8
40,8
20,4
20,4
20,4
42,21
42,21
42,21
80,16
80,16
80,16
64,32
64,32
64,32
20,5
20,5
20,5
40,10
40,10
40,10
20,4
20,4
20,4
13,4
13,4
13,4
12,5
12,5
12,5
56,12
56,12
56,12
13,7
13,7
13,7
20,4
20,4
20,4
52,11
52,11
52,11
32,7
32,7
32,7
80,32
80,32
80,32
64,13
64,13
64,13
52,11
52,11
52,11
480,160
480,160
480,160
20,5
20,5
20,5
32,16
32,16
32,16
32,8
32,8
32,8
20,4
20,4
20,4
80,20
80,20
80,20
224,45
224,45
224,45
28,6
28,6
28,6
480,160
480,160
480,160
20,5
20,5
20,5
480,160
480,160
480,160
2,3
2,3
2,3
5,2
5,2
5,2
120,32
120,32
120,32
40,16
40,16
40,16
56,12
56,12
56,12
52,26
52,26
52,26
104,21
104,21
104,21
21,13
21,13
21,13
40,8
40,8
40,8
416,84
416,84
416,84
64,13
64,13
64,13
28,8
28,8
28,8
32,10
32,10
32,10
13,3
13,3
13,3
16,40
16,40
16,40
80,20
80,20
80,20
28,6
28,6
28,6
120,32
120,32
120,32
26,6
26,6
26,6
128,52
128,52
128,52
32,8
32,8
32,8
5,2
5,2
5,2
144,32
144,32
144,32
11,11
11,11
11,11
208,42
208,42
208,42
32,7
32,7
32,7
40,8
40,8
40,8
40,8
40,8
40,8
40,10
40,10
40,10
120,32
120,32
120,32
32,8
32,8
32,8
10,4
10,4
10,4
20,4
20,4
20,4
36,10
36,10
36,10
13,4
13,4
13,4
14,3
14,3
14,3
40,8
40,8
40,8
160,32
160,32
160,32
80,16
80,16
80,16
12,3
12,3
12,3
8,6
8,6
8,6
77,26
77,26
77,26
40,8
40,8
40,8
2,4
2,4
2,4
32,7
32,7
32,7
160,40
160,40
160,40
26,6
26,6
26,6
40,10
40,10
40,10
160,40
160,40
160,40
128,26
128,26
128,26
13,3
13,3
13,3
144,32
144,32
144,32
120,32
120,32
120,32
24,16
24,16
24,16
40,8
40,8
40,8
160,40
160,40
160,40
56,12
56,12
56,12
52,13
52,13
52,13
28,12
28,12
28,12
112,23
112,23
112,23
4,8
4,8
4,8
56,12
56,12
56,12
20,4
20,4
20,4
6,4
6,4
6,4
40,10
40,10
40,10
160,32
160,32
160,32
224,45
224,45
224,45
8,2
8,2
8,2
20,5
20,5
20,5
40,8
40,8
40,8
128,26
128,26
128,26
20,7
20,7
20,7
32,7
32,7
32,7
80,16
80,16
80,16
120,32
120,32
120,32
