OH,OWB,ICB,OCB
3,3,128,256
28,8,64,64
128,80,1,16
40,8,64,3
160,40,64,64
11,11,32,64
52,13,64,4
32,32,64,16
32,7,64,29
8,2,64,64
10,4,64,16
208,84,1,8
104,42,8,16
144,128,8,16
64,16,32,32
20,4,128,13
40,10,128,58
160,40,16,58
80,16,64,32
256,80,1,16
7,8,32,32
2,4,256,128
56,12,32,7
80,16,64,16
26,26,16,32
13,8,32,32
4,3,128,256
40,8,64,16
160,32,16,4
26,6,64,103
20,5,128,512
112,23,16,10
120,32,32,29
108,32,32,32
40,8,64,64
256,52,1,5
72,20,32,128
160,40,64,20
20,5,512,52
16,8,64,64
160,32,64,3
12,4,64,3
10,2,64,16
8,10,64,256
40,8,64,45
20,4,64,1
32,7,128,32
20,8,64,2
40,8,64,20
80,16,64,3
40,8,64,64
40,8,64,58
40,8,64,13
160,32,64,2
32,8,38,32
128,40,16,16
240,64,16,20
16,4,128,128
96,32,64,16
108,32,32,32
7,8,32,32
12,4,256,256
32,20,16,64
64,32,64,64
416,84,1,4
37,11,32,64
23,8,32,32
24,10,256,64
16,40,64,16
16,16,64,16
240,64,16,26
26,6,64,13
13,4,256,39
32,7,128,7
224,45,1,15
9,3,128,128
120,32,32,20
11,21,16,32
4,8,32,32
13,3,384,154
80,16,32,10
320,80,1,2
32,8,32,64
28,6,128,103
20,5,256,512
13,3,128,103
4,4,128,128
32,32,64,64
40,16,64,32
8,2,64,16
6,6,64,128
20,8,32,6
1,2,64,2
34,12,32,64
32,8,32,7
20,5,512,64
128,26,16,32
21,21,16,32
120,64,16,32
24,8,64,3
120,32,32,32
32,8,32,20
40,10,128,256
14,4,128,128
120,32,32,10
96,32,16,16
2,2,64,16
16,20,16,64
160,32,16,5
96,40,16,16
10,2,64,2
32,8,32,90
48,16,16,16
45,12,64,64
80,20,64,4
80,20,64,13
32,8,32,4
40,8,64,2
32,8,32,16
51,12,64,64
208,42,8,13
52,11,32,13
256,52,16,12
1,2,64,16
80,16,64,39
26,7,128,64
16,40,16,64
40,8,64,64
10,4,64,3
29,7,128,128
160,32,16,13
24,8,64,64
4,3,128,256
32,8,32,20
40,8,64,1
64,13,64,7
10,4,256,256
80,20,32,128
13,3,384,128
32,7,128,26
8,16,64,64
26,11,32,64
80,20,128,26
80,16,64,7
120,32,32,4
160,40,16,52
80,16,16,15
20,4,64,1
20,4,64,26
80,16,64,1
32,7,128,77
4,7,64,128
80,16,64,32
128,26,32,7
84,32,32,32
56,20,64,32
80,16,64,2
40,8,64,26
416,84,1,3
40,8,64,2
10,5,512,128
112,23,32,10
32,8,64,2
32,8,32,20
64,13,64,64
2,4,128,128
32,7,128,45
160,40,64,13
80,20,32,90
80,16,64,15
32,10,128,64
40,8,64,32
17,12,32,64
20,8,64,64
4,5,256,512
26,6,64,90
16,40,64,64
28,6,64,52
80,20,128,23
8,20,128,32
32,8,32,10
80,20,128,32
10,2,64,8
80,32,64,64
20,4,64,13
120,32,32,20
32,8,32,16
6,11,32,64
32,8,32,4
4,10,128,256
32,11,32,64
52,11,32,64
13,8,38,32
20,8,32,32
10,2,64,45
51,12,32,64
80,16,32,7
128,52,16,16
20,5,128,103
36,8,64,64
224,45,16,8
60,32,32,32
120,32,32,26
8,4,64,64
104,21,16,7
40,10,32,26
6,3,128,128
72,32,32,32
10,7,64,64
120,32,32,32
3,6,128,128
40,8,64,64
24,32,32,32
160,40,16,7
29,8,32,32
13,13,64,64
72,32,32,32
32,8,32,13
120,32,32,29
32,7,128,20
160,32,64,1
112,23,16,29
120,32,32,13
96,32,32,32
26,7,128,7
160,32,64,2
13,8,32,128
416,84,1,8
2,2,64,64
52,11,32,26
20,4,64,2
45,13,64,64
80,40,16,16
23,12,64,64
20,8,38,32
13,13,64,64
80,32,64,3
32,21,16,32
32,32,16,16
16,8,32,32
480,160,8,1
36,10,32,128
120,32,32,29
12,4,256,128
20,4,64,13
40,8,64,58
16,8,64,32
128,40,64,16
14,3,128,52
26,6,64,128
10,2,64,10
8,10,128,256
40,8,64,52
20,5,512,128
26,7,128,128
12,3,256,256
21,21,16,32
8,16,16,16
256,52,16,13
23,8,32,32
8,16,64,3
64,40,64,64
40,10,32,13
20,5,256,52
20,8,64,64
16,5,512,128
8,16,32,32
20,4,64,2
64,13,64,52
40,8,64,2
16,20,64,64
80,16,32,7
32,8,32,3
80,16,64,3
32,8,32,26
90,23,16,32
256,52,16,16
64,13,64,45
20,4,64,7
26,6,64,39
120,32,32,4
3,3,128,256
20,5,512,26
160,40,64,12
20,4,64,39
32,8,64,64
13,3,128,26
160,40,16,16
21,13,64,32
32,8,64,64
32,13,64,32
96,80,1,16
10,4,64,64
160,40,16,12
12,4,64,64
16,32,16,16
7,8,128,6
12,3,256,256
20,4,64,2
16,5,64,256
10,2,64,1
20,4,64,64
7,8,32,32
4,4,256,128
64,13,32,39
16,8,32,128
32,8,128,5
40,8,32,32
14,4,64,16
64,13,64,32
128,26,32,26
128,26,16,13
20,5,512,116
28,6,128,116
8,3,384,256
80,16,64,16
26,6,64,26
160,32,64,1
3,2,64,16
20,8,32,32
40,10,128,39
208,42,8,10
32,8,32,32
7,8,32,32
32,8,32,29
42,26,32,16
40,8,64,13
104,26,32,12
120,32,32,7
13,3,256,256
13,3,128,52
16,10,32,128
64,32,16,16
6,2,64,16
52,21,16,32
26,11,32,64
29,7,64,64
20,4,128,39
80,16,32,16
32,7,64,64
10,2,64,3
32,8,38,4
205,52,1,16
10,5,256,512
9,3,128,128
120,32,32,23
13,4,256,231
64,32,16,16
32,7,64,45
13,4,256,90
4,4,128,128
160,32,64,45
11,6,64,128
16,8,64,64
80,20,64,39
6,3,128,256
64,13,64,52
16,4,64,16
56,12,64,26
72,16,64,32
32,7,64,39
40,10,64,231
104,26,32,13
80,16,64,2
40,10,256,58
12,4,64,16
7,7,128,64
32,8,32,3
96,32,32,32
80,20,64,32
13,3,256,256
48,32,16,16
10,2,64,3
40,20,64,32
26,8,32,32
16,8,38,32
4,8,32,32
112,45,1,16
26,6,64,116
52,11,32,7
20,7,64,64
160,40,64,15
80,16,32,32
8,5,64,256
32,16,64,3
2,5,256,128
8,5,256,512
26,6,64,13
56,20,128,32
256,52,16,15
3,3,128,128
11,6,64,128
24,10,128,256
29,7,64,64
24,8,64,32
1,2,64,64
40,8,32,32
160,40,16,10
32,7,128,64
52,13,64,29
32,8,32,10
64,13,64,64
13,3,256,154
32,8,128,2
20,4,64,13
10,8,32,32
120,32,32,4
24,16,64,64
256,52,1,7
52,11,32,7
23,8,38,32
64,16,32,32
13,7,64,128
4,2,64,2
72,32,32,32
120,32,32,4
160,40,64,13
160,40,16,5
80,20,32,64
56,12,64,7
8,4,64,32
104,21,16,16
20,5,64,26
40,10,64,180
32,8,32,13
24,10,128,64
17,6,128,128
80,16,16,12
128,26,32,20
10,2,64,2
36,10,64,256
20,4,128,64
40,16,16,16
10,4,128,128
20,4,64,58
20,4,128,128
80,20,128,13
40,8,64,32
11,4,256,256
52,11,32,39
416,84,1,6
13,4,256,180
12,4,64,64
14,3,128,26
160,32,64,2
416,84,1,7
13,3,128,128
336,160,8,1
72,64,16,32
160,40,16,26
160,40,16,45
72,32,32,32
48,32,64,3
8,16,64,16
80,16,64,2
120,32,32,20
48,16,32,32
72,32,32,32
14,3,128,103
32,8,32,32
32,8,32,23
2,4,64,2
160,32,64,2
5,2,64,32
80,16,64,26
80,20,64,7
14,3,128,128
20,4,64,45
10,4,64,64
20,7,64,32
80,16,64,8
20,4,64,52
80,20,16,7
4,4,64,64
20,5,512,39
320,80,1,5
112,23,16,23
20,4,64,64
80,20,64,13
10,8,32,32
96,32,32,32
40,10,128,20
52,26,16,32
20,5,64,231
12,4,64,2
8,5,256,128
80,16,64,13
20,5,256,205
2,2,64,16
28,6,128,77
112,32,64,2
28,8,64,64
20,4,128,64
80,16,64,1
2,4,64,32
120,32,32,16
13,4,256,26
14,3,128,26
40,8,64,5
40,8,64,13
160,32,16,8
40,10,128,180
240,128,8,16
157,45,16,16
128,26,16,32
28,6,64,13
64,32,64,2
9,2,64,64
40,8,64,26
52,13,64,7
160,32,64,45
80,16,32,4
128,32,16,16
72,32,32,32
80,20,16,52
144,32,64,16
52,11,32,58
208,42,8,15
40,10,128,64
14,3,128,13
1,2,64,3
36,32,32,32
26,6,64,39
10,2,64,1
160,32,64,16
80,20,64,64
20,5,512,26
160,32,16,7
120,32,32,29
2,4,64,16
20,4,64,32
112,45,16,16
16,4,64,64
20,6,64,128
32,8,64,64
52,11,32,13
120,32,32,16
80,40,64,64
40,8,64,64
167,42,8,16
7,13,64,64
20,8,64,64
120,32,32,10
32,8,38,32
320,80,1,15
480,128,8,10
6,4,128,128
32,8,32,39
6,12,64,64
32,7,64,64
20,4,128,116
80,20,128,32
4,5,128,512
45,13,32,64
32,40,16,16
36,8,64,32
10,2,64,16
20,8,64,64
80,20,64,90
40,8,64,64
13,7,64,64
42,13,64,32
20,4,64,20
16,5,256,512
32,8,38,29
64,13,64,58
28,12,64,64
40,8,64,2
20,4,128,39
10,2,64,20
120,32,32,16
32,8,32,32
80,16,64,23
320,80,1,12
20,4,64,64
52,11,32,45
480,160,8,1
32,7,64,32
20,5,512,64
112,32,64,16
32,8,32,23
84,84,1,8
32,8,32,7
160,40,64,45
480,160,8,1
120,32,32,13
17,12,64,64
40,16,32,32
13,8,32,32
23,7,64,64
2,3,128,128
32,8,32,13
8,8,64,64
6,6,128,128
64,13,64,64
80,20,64,64
32,16,16,16
80,16,64,4
80,16,32,32
26,6,64,116
2,4,64,64
80,16,64,1
16,8,64,64
40,8,64,52
160,32,64,13
32,8,32,16
3,7,128,64
23,8,32,32
120,32,32,23
32,8,38,32
20,5,256,128
192,160,1,8
64,13,32,32
16,7,64,128
56,20,64,64
10,8,32,32
32,8,64,64
84,32,32,32
40,8,64,13
120,32,32,20
12,8,64,32
5,2,64,2
96,32,32,32
3,2,64,64
32,8,32,4
256,52,16,7
128,32,64,3
24,32,32,32
26,7,64,128
13,3,256,77
40,8,64,32
52,11,32,32
14,4,64,2
20,5,256,64
20,5,256,410
160,40,16,20
40,8,64,20
36,8,64,2
120,32,32,29
12,32,32,32
40,8,64,7
160,40,16,13
80,16,32,32
104,26,32,7
16,11,32,64
64,20,64,64
256,52,16,8
6,5,256,512
32,8,32,16
320,80,1,8
80,16,64,7
16,16,32,32
320,80,1,16
23,7,128,128
72,16,32,32
16,4,64,3
112,23,32,7
160,32,64,39
1,2,64,16
32,8,32,13
64,13,64,64
32,8,32,32
64,13,64,13
20,4,64,16
20,5,256,154
6,7,128,64
20,6,128,128
16,11,32,64
4,8,32,32
160,32,64,2
80,16,64,2
256,52,1,2
29,8,128,6
120,32,32,4
7,3,128,256
26,8,128,6
80,16,64,10
40,8,64,16
80,20,128,10
20,4,64,5
16,16,32,32
13,3,384,231
120,32,32,7
80,16,64,16
120,32,32,7
80,16,32,10
40,10,128,39
20,4,128,13
64,13,64,64
480,160,8,1
16,4,128,128
80,16,32,13
6,3,256,256
80,20,16,20
32,8,32,10
9,2,64,2
120,32,32,13
48,32,64,2
4,3,256,256
32,8,32,16
16,8,128,6
68,23,32,32
16,7,128,64
40,8,64,23
4,7,64,64
32,8,32,7
480,160,1,6
144,40,16,16
12,10,128,64
112,32,64,64
4,5,64,256
28,8,64,16
12,8,64,64
4,3,128,256
128,26,32,32
80,16,32,32
13,7,128,64
20,5,128,461
104,21,16,7
56,12,64,64
13,3,384,103
32,8,38,23
10,2,64,7
256,52,1,13
40,16,64,16
72,32,32,32
40,8,64,45
24,32,32,32
16,8,32,6
80,40,64,16
