OH,OWB,ICB,OCB
20,4,64,32
40,8,64,7
32,7,128,26
20,4,64,2
24,8,64,64
16,8,38,32
24,32,32,32
40,8,64,1
9,6,128,128
9,6,128,128
20,4,64,7
16,40,16,16
56,12,64,39
28,6,128,90
72,16,32,32
32,7,64,13
13,3,128,128
128,32,64,16
16,32,64,16
24,7,128,64
10,2,64,8
52,13,64,10
40,8,32,29
20,4,64,7
4,4,64,3
28,6,128,103
7,8,38,32
7,8,32,6
160,32,64,20
32,7,64,13
56,16,64,64
480,128,8,15
28,6,128,128
32,8,32,20
40,10,128,7
32,8,32,6
20,13,64,64
72,32,32,32
12,8,64,64
80,20,64,10
52,13,64,32
64,13,64,7
224,45,16,16
12,23,16,32
3,3,256,256
14,4,64,32
32,8,32,26
7,7,64,128
14,3,128,90
80,20,128,16
224,45,16,7
48,16,64,3
20,8,64,64
23,8,32,32
320,80,1,13
6,2,64,2
79,23,16,32
20,4,64,2
16,5,512,64
26,8,32,32
29,8,38,32
128,26,32,10
40,8,32,20
20,5,128,359
160,32,64,10
13,8,32,32
160,32,64,1
32,40,64,16
84,32,32,32
416,84,1,4
32,7,64,10
208,42,8,4
104,26,32,2
160,32,16,16
28,6,128,64
12,5,128,512
45,45,16,16
12,3,128,256
3,6,128,128
160,32,64,1
120,32,32,29
40,10,256,7
6,2,64,64
32,7,128,103
23,6,64,128
26,7,64,64
224,45,1,5
24,16,32,32
2,4,64,3
32,8,32,23
23,12,32,64
7,3,128,256
80,32,64,32
32,7,64,23
32,32,64,64
40,8,64,26
10,2,64,7
56,12,64,32
480,160,1,1
160,32,64,16
28,8,32,32
32,8,32,32
120,32,32,23
120,32,32,29
26,8,32,32
112,23,32,13
416,84,1,2
160,40,16,64
64,16,64,16
32,7,64,52
64,40,16,64
32,7,128,13
32,8,32,32
80,32,64,16
16,32,64,2
13,7,128,128
40,8,32,10
104,21,16,16
12,32,32,32
6,11,32,64
10,2,64,29
160,32,64,52
14,3,128,116
6,12,64,64
56,16,64,2
14,3,128,26
20,5,256,359
40,10,128,32
16,10,128,256
480,160,8,1
20,4,64,1
8,4,128,128
2,4,64,64
14,6,128,128
20,4,128,39
80,16,64,2
8,6,64,128
40,8,64,7
45,13,64,64
56,20,64,128
202,45,1,16
6,5,64,256
80,16,64,26
10,2,64,1
24,20,64,64
21,42,8,16
20,5,256,26
32,8,32,16
16,7,128,64
40,8,64,45
160,40,64,64
480,128,8,13
52,11,32,20
80,16,16,13
144,40,64,64
112,23,32,32
2,5,512,64
96,128,8,16
5,3,128,128
26,6,64,39
80,16,64,45
80,16,64,3
3,6,64,128
40,20,128,32
32,8,32,5
52,11,32,32
32,32,64,32
40,10,128,26
20,4,64,10
10,2,64,15
2,4,256,256
20,5,128,154
10,2,64,13
8,2,64,2
56,16,64,16
40,20,32,128
80,20,64,20
2,3,128,128
40,8,32,16
32,8,32,29
12,4,128,128
24,8,64,64
2,5,64,256
96,160,8,1
20,4,64,15
120,32,32,20
32,8,32,77
20,4,128,90
32,16,32,32
64,13,32,64
10,2,64,32
96,160,1,8
180,45,16,16
36,32,32,32
20,4,128,128
32,8,32,32
160,32,64,4
60,32,32,32
39,26,32,32
160,32,64,5
40,8,64,32
48,32,32,32
80,32,16,16
23,8,128,6
32,8,32,10
48,40,64,64
32,7,64,26
8,16,32,32
13,3,128,26
160,32,64,10
14,3,128,116
40,8,64,10
80,16,64,20
11,3,256,256
160,32,64,1
32,7,128,39
10,2,64,2
20,8,64,3
18,5,512,128
20,4,64,20
80,16,64,20
16,32,64,16
112,40,64,64
64,32,64,32
32,21,16,32
18,4,64,32
28,6,128,13
24,16,32,32
24,16,16,16
20,4,64,7
231,52,16,16
101,23,32,32
10,7,64,64
10,2,64,1
10,3,384,256
20,4,64,1
16,16,64,32
10,3,128,256
480,160,8,1
64,20,64,128
13,13,64,64
7,7,64,64
120,32,32,32
24,16,64,16
20,5,256,90
80,16,16,8
20,8,64,16
48,160,8,1
96,32,64,64
40,8,64,64
24,32,32,32
20,4,128,77
288,80,1,16
48,20,16,64
104,21,16,32
4,7,64,64
40,8,64,2
26,8,38,32
20,8,32,32
26,13,32,64
20,4,64,52
32,7,64,64
224,45,1,8
56,12,64,45
39,13,64,64
160,32,64,32
32,32,64,3
84,21,16,32
8,8,64,16
40,8,64,1
