OH,OWB
32,16
40,8
24,64
32,8
205,52
13,3
18,4
40,8
32,8
32,20
32,8
12,32
20,8
20,5
16,8
26,8
120,32
10,5
40,8
64,16
96,32
26,6
96,64
10,2
4,2
40,8
72,32
14,6
32,8
40,8
160,32
28,6
32,10
2,4
40,8
416,84
48,32
32,8
2,2
2,3
14,3
16,8
6,6
12,3
20,5
64,13
128,32
24,32
29,8
7,8
480,128
4,8
80,20
29,8
29,7
20,7
32,8
10,2
80,16
120,32
20,5
26,8
10,2
336,160
48,40
80,16
26,6
40,8
28,6
12,4
40,10
20,4
32,8
12,12
20,5
40,8
3,4
80,40
32,8
224,45
40,10
52,11
7,2
12,4
23,23
24,10
36,10
10,2
56,12
32,8
96,32
20,5
10,2
40,8
32,8
14,4
160,32
128,26
10,2
32,40
28,12
20,4
20,4
96,40
20,5
40,16
16,5
12,4
80,16
80,16
32,8
2,4
14,5
24,8
80,16
77,26
10,2
13,4
56,12
23,8
48,16
160,32
2,4
32,8
23,6
13,6
40,8
47,11
23,7
28,6
80,16
32,8
40,16
40,20
160,32
10,2
20,4
29,8
13,4
20,4
104,26
7,3
26,7
10,3
112,23
80,16
84,32
8,2
26,13
144,32
10,2
32,8
9,3
13,3
40,8
14,3
8,3
14,6
32,8
72,16
160,40
104,21
40,20
56,16
40,10
16,8
32,8
20,8
48,32
20,5
16,16
20,8
14,4
112,23
20,10
60,32
40,8
36,8
64,13
12,4
32,7
17,6
320,80
167,42
56,12
84,84
20,8
7,3
20,4
32,8
20,10
64,40
40,8
16,8
480,160
26,13
16,32
12,6
80,20
32,8
32,8
336,128
12,3
160,32
20,8
120,32
19,6
4,3
160,32
64,13
224,45
80,16
14,3
20,4
40,8
13,3
104,26
40,8
80,20
480,160
231,52
29,7
80,32
63,42
80,16
80,16
20,5
32,8
103,26
20,4
16,20
18,4
14,5
40,10
32,8
7,8
20,8
20,4
56,16
14,3
144,64
20,4
256,52
26,8
104,21
13,8
26,6
28,8
6,2
4,3
36,10
56,12
56,16
18,4
13,3
12,4
160,32
11,3
24,8
8,8
28,8
20,4
16,20
40,8
72,32
8,4
32,40
120,32
13,3
52,13
56,16
20,5
256,52
20,4
160,40
32,8
120,32
56,23
36,8
80,16
16,8
40,8
120,32
80,16
32,8
16,4
20,5
26,6
40,8
12,8
72,32
80,16
40,8
108,32
20,8
10,2
3,6
26,7
7,3
28,6
52,13
120,32
72,16
20,5
40,8
160,32
40,8
16,8
288,160
24,8
32,8
6,12
40,10
32,8
32,7
128,26
13,4
14,3
14,3
13,3
320,80
26,8
26,7
28,6
32,8
28,6
20,4
240,64
52,13
11,6
20,4
256,52
23,8
13,3
128,32
48,32
384,160
56,20
8,5
84,21
80,20
160,40
128,26
45,13
20,8
160,32
12,8
32,8
26,6
128,26
14,5
32,8
4,8
120,32
32,8
20,4
2,3
64,20
14,3
36,10
112,23
5,2
29,8
8,5
32,8
32,16
12,3
13,3
80,32
32,8
104,26
32,32
56,16
40,8
256,80
13,3
20,4
12,8
40,8
72,16
80,16
20,4
6,6
160,40
1,2
20,5
2,2
52,21
48,32
167,84
160,40
20,5
20,4
32,8
32,8
13,3
4,7
10,2
48,160
32,8
240,64
6,13
80,20
32,7
20,5
40,8
56,16
40,10
32,7
7,7
40,10
96,32
10,2
12,3
4,7
16,4
40,8
40,8
160,32
80,16
120,32
12,5
32,8
11,6
32,8
20,7
10,2
32,7
23,8
20,8
23,8
8,7
64,13
37,13
120,32
11,11
224,45
480,160
14,5
40,8
103,52
20,8
24,20
52,11
32,13
32,8
20,4
24,16
32,8
32,7
32,8
80,16
8,4
80,16
160,32
13,8
84,32
80,16
40,10
160,32
10,3
80,20
120,32
32,7
16,4
21,6
120,32
80,20
160,40
40,16
16,8
10,2
12,10
14,3
80,16
108,32
26,8
20,4
256,52
72,16
160,32
16,8
40,8
32,80
6,11
64,13
32,7
84,32
480,128
13,3
160,40
23,12
20,4
12,12
6,4
47,11
120,32
20,7
64,13
9,2
112,23
8,8
80,20
192,128
32,8
64,20
32,8
80,16
32,8
80,16
14,3
40,8
84,32
8,2
56,12
2,3
45,23
40,8
29,7
120,32
120,32
48,32
48,32
52,52
64,16
13,3
40,16
32,7
80,16
208,42
125,84
4,8
64,13
32,8
40,10
160,40
40,16
3,6
7,3
13,4
160,40
96,32
20,4
80,16
4,2
80,16
40,8
40,10
16,32
80,16
72,16
108,32
32,32
52,13
8,16
160,40
2,4
16,8
20,5
12,4
32,8
68,45
80,20
32,7
80,20
120,32
20,5
32,8
120,32
8,16
13,13
32,8
16,32
64,13
12,5
8,20
12,32
4,8
24,10
6,11
32,7
32,32
120,32
6,12
32,13
6,4
13,3
80,20
40,8
144,40
10,8
20,4
20,5
8,20
80,16
80,16
13,3
48,16
28,8
32,8
32,8
224,45
146,42
320,80
40,8
7,7
17,6
7,7
52,11
32,8
10,4
32,7
80,16
32,8
160,32
14,4
48,64
13,4
64,16
32,8
28,8
4,7
8,3
60,32
29,7
32,7
40,10
20,8
20,8
20,5
32,7
40,8
52,11
7,8
52,11
40,8
32,8
112,23
13,4
154,52
16,4
18,5
2,4
32,32
125,42
80,20
192,160
160,32
8,4
8,10
4,10
12,10
120,32
32,7
64,13
56,12
56,20
16,16
120,32
60,32
40,10
64,40
120,32
12,5
16,40
32,7
16,16
224,45
48,20
80,16
32,8
14,4
3,4
90,23
104,26
80,20
4,8
13,4
29,7
40,8
135,45
40,10
32,8
120,32
128,40
64,13
2,2
64,20
144,32
112,23
40,10
4,2
13,3
26,7
26,6
8,6
8,8
160,40
32,7
20,4
18,4
10,8
160,32
32,32
20,4
128,32
40,10
104,21
160,40
7,8
14,4
40,8
40,10
20,4
20,5
40,8
40,10
160,40
20,4
26,6
32,8
80,16
20,4
32,7
48,32
192,80
26,6
40,8
20,5
40,10
80,20
160,40
42,26
72,32
80,16
20,4
36,32
120,32
20,5
64,40
160,32
13,3
11,6
80,16
160,32
18,4
20,4
20,4
56,12
10,8
256,52
4,4
8,3
20,5
13,7
32,7
6,4
24,6
40,8
416,84
13,3
13,4
20,4
36,8
45,13
16,11
32,8
20,4
13,8
48,20
10,5
48,20
20,5
56,12
112,40
224,80
16,10
40,8
10,2
160,32
20,5
13,3
7,13
80,16
32,8
28,6
120,32
240,64
8,16
21,11
18,5
26,6
36,8
21,21
20,8
208,42
192,160
4,3
32,8
40,10
26,7
160,32
94,26
10,2
32,7
20,5
45,12
120,32
160,32
14,3
52,26
40,8
10,2
80,16
20,7
80,16
56,20
19,6
24,16
480,128
20,4
10,2
80,16
32,20
13,3
23,8
32,7
112,23
292,84
120,32
128,26
40,8
40,8
80,16
13,3
12,8
80,16
11,3
14,3
160,32
80,20
480,160
13,3
80,16
13,4
13,3
10,2
20,5
80,20
8,4
28,6
72,20
9,3
32,7
13,3
4,5
24,32
20,5
96,40
23,7
256,52
108,32
20,4
20,5
120,32
11,26
20,10
18,5
8,10
250,84
26,7
80,16
16,7
84,32
80,40
32,8
160,32
20,4
64,13
120,32
4,8
208,42
120,32
52,11
2,4
32,7
320,80
56,12
40,10
16,8
36,32
120,32
32,8
16,8
160,40
120,32
16,16
40,8
20,5
10,2
10,4
96,40
80,16
16,8
160,32
80,20
40,8
96,32
72,20
32,26
20,4
120,32
32,8
180,52
32,7
96,80
160,32
8,3
64,32
10,2
20,4
20,5
10,8
160,40
2,2
160,32
20,8
144,40
96,32
40,20
80,20
32,32
17,12
10,2
79,23
36,32
120,32
40,8
224,45
104,26
40,8
32,7
14,3
144,32
4,3
20,4
10,3
10,2
16,32
40,8
160,40
52,11
16,40
63,26
5,3
160,32
20,4
128,32
10,5
10,4
52,13
64,20
12,10
40,8
160,32
26,6
29,8
104,21
20,4
32,7
8,4
36,32
6,7
10,2
104,21
208,42
8,4
20,4
32,8
112,23
24,16
120,32
80,20
32,32
