OH,OWB,ICB
10,8,38
32,8,32
64,13,64
56,16,16
80,20,64
32,8,64
32,8,128
56,12,64
7,2,64
20,4,128
40,8,64
32,7,64
160,40,16
144,64,16
8,3,128
16,8,32
7,8,32
80,40,16
20,4,64
80,16,64
12,4,128
10,3,128
26,6,64
32,8,32
40,10,128
160,32,16
192,64,16
16,6,64
32,21,16
20,4,64
36,8,64
48,16,64
21,26,32
58,13,64
80,16,32
80,20,128
17,6,128
72,20,64
32,8,32
13,4,256
29,8,32
32,16,32
16,8,38
160,40,16
60,32,32
12,8,64
32,8,38
112,23,16
128,26,32
20,4,128
32,8,32
12,10,128
80,16,16
12,4,256
10,7,64
14,3,128
32,7,128
80,16,64
120,64,16
20,4,64
14,5,64
104,21,16
20,4,64
23,7,128
64,32,64
13,3,128
16,8,32
80,32,64
80,16,32
32,7,128
160,32,64
6,2,64
10,5,512
40,10,128
80,16,64
160,32,16
160,32,64
13,7,128
80,20,64
160,32,64
104,21,16
26,8,32
26,13,64
32,8,32
13,3,128
32,8,128
20,4,64
32,8,32
32,8,64
144,32,64
14,6,128
3,6,128
120,32,32
8,2,64
20,5,256
84,32,32
160,32,16
58,13,64
60,32,32
20,5,256
80,16,32
128,32,64
40,8,64
20,5,128
11,3,384
128,26,32
48,20,64
28,6,64
64,20,16
84,32,32
20,5,512
13,3,256
64,13,64
112,23,16
64,40,64
112,32,64
120,32,32
2,2,64
112,23,32
160,40,64
80,16,32
4,8,32
26,6,64
32,7,64
10,2,64
20,4,64
32,20,64
10,7,64
10,2,64
26,13,64
80,20,64
63,21,16
120,32,32
13,4,256
20,4,64
40,16,32
26,6,64
32,21,16
40,10,64
4,5,512
160,32,64
104,21,16
480,160,1
14,3,128
32,7,64
14,5,512
26,6,64
48,40,64
20,4,128
32,7,128
32,7,64
32,7,64
2,3,128
40,8,64
103,26,32
112,23,32
32,13,32
11,21,16
12,32,32
64,13,64
40,8,32
12,3,128
188,42,8
32,8,64
40,10,128
128,32,64
72,16,64
64,32,16
40,20,64
104,26,32
112,45,1
10,4,128
24,10,32
20,4,128
28,6,64
160,32,64
160,32,64
52,11,32
10,2,64
32,7,64
10,2,64
6,6,64
56,12,64
32,32,16
21,7,128
32,7,64
224,45,1
80,32,64
10,3,256
24,10,128
56,12,64
52,11,32
13,3,128
26,7,64
12,23,32
104,26,32
20,4,128
32,10,128
2,4,64
20,4,128
26,6,64
32,8,38
4,3,256
80,20,128
24,32,32
32,8,32
8,20,32
40,8,64
80,16,32
4,7,64
72,32,32
1,2,64
20,4,64
20,4,128
72,16,32
208,42,8
52,13,64
48,160,1
8,16,16
32,8,38
108,32,32
20,5,512
120,32,32
20,4,64
120,32,32
14,3,128
20,4,64
120,32,32
10,2,64
128,26,32
12,12,64
160,32,16
13,3,256
72,32,32
144,128,8
16,4,128
208,42,8
14,3,128
10,8,32
40,8,64
32,7,128
12,3,128
13,3,128
480,160,8
160,32,64
20,8,64
32,7,64
17,12,64
320,80,1
9,6,64
13,8,32
20,4,64
256,52,1
4,8,64
40,10,256
20,5,256
160,32,64
26,26,16
64,13,64
52,26,32
52,11,32
2,3,128
80,16,32
20,5,256
101,23,16
16,32,64
256,80,1
112,23,32
23,8,32
128,40,64
32,7,64
56,20,64
10,2,64
32,8,32
20,5,512
40,20,64
208,42,8
14,3,128
68,45,1
20,4,64
16,10,128
10,7,128
58,13,64
32,8,32
13,4,256
32,8,32
26,7,64
42,11,32
32,8,38
32,32,64
80,16,64
144,32,64
14,3,128
32,7,64
104,21,16
96,32,64
84,32,32
20,8,32
20,4,128
20,4,64
32,7,64
9,2,64
256,52,1
80,20,64
11,6,64
72,20,16
80,16,32
8,2,64
160,32,64
160,40,16
40,8,64
52,11,32
80,16,32
8,20,16
32,40,64
80,16,64
20,4,64
32,8,128
10,7,64
256,52,1
26,8,32
80,16,16
48,20,16
4,2,64
40,10,128
108,32,32
6,6,64
40,8,64
8,10,64
104,21,16
52,13,64
32,8,32
12,10,128
20,4,128
16,11,32
120,32,32
120,32,32
2,3,256
8,8,32
32,8,32
40,10,64
20,4,64
128,26,32
10,5,256
160,32,64
120,32,32
224,45,1
32,7,64
120,32,32
160,32,64
40,10,128
104,42,8
8,5,256
10,2,64
16,5,256
40,8,64
56,12,64
8,8,64
333,84,1
288,128,8
160,32,64
80,20,16
160,40,16
112,23,16
16,32,64
52,13,32
4,8,32
160,32,64
16,8,38
80,16,64
28,8,64
160,40,16
12,4,64
48,16,64
64,13,64
28,10,128
10,2,64
120,32,32
13,4,256
80,16,64
16,4,64
336,128,8
160,40,16
28,8,64
80,20,64
80,16,64
96,32,64
32,32,64
20,4,64
4,2,64
32,7,64
8,5,512
8,4,64
36,32,32
80,40,64
80,20,64
20,5,256
16,10,128
64,16,64
24,8,64
125,84,1
6,2,64
20,4,64
168,64,16
40,8,64
18,4,64
84,32,32
14,4,128
160,32,64
80,16,16
32,8,128
160,32,64
104,21,16
12,32,32
32,7,64
224,45,16
40,8,64
32,8,32
10,2,64
40,8,64
10,2,64
112,23,32
80,20,128
20,7,128
32,8,32
20,4,64
32,8,32
104,21,16
84,84,1
80,16,32
13,8,38
480,160,1
24,20,64
64,32,64
160,40,16
32,32,64
10,2,64
64,20,32
8,16,64
416,84,1
64,13,32
6,4,128
80,16,64
20,8,64
160,32,64
40,8,64
160,40,64
24,32,32
20,5,512
52,13,64
1,2,64
202,45,1
7,3,128
160,32,64
160,32,64
26,6,64
34,23,16
64,13,32
18,4,64
20,4,64
7,2,64
80,16,32
160,32,64
6,3,128
72,20,32
2,4,64
72,16,64
12,32,32
6,4,64
13,3,256
40,8,64
94,21,16
32,8,32
120,32,32
90,23,16
96,32,32
80,16,32
12,6,64
51,12,32
80,16,64
160,32,16
48,128,8
416,84,1
45,12,64
48,32,64
10,2,64
18,5,64
20,4,128
120,32,32
40,8,64
32,8,32
40,8,32
64,13,64
10,2,64
480,160,8
84,26,32
20,5,256
16,6,64
56,12,64
8,10,128
64,40,16
14,3,128
20,4,64
80,20,16
52,11,32
32,8,32
1,2,64
32,7,64
120,32,32
90,45,1
160,32,64
32,8,32
384,128,8
96,32,16
56,12,32
32,8,32
28,6,128
3,3,256
80,16,64
120,32,32
16,8,32
80,16,64
28,6,128
32,10,64
29,8,32
16,4,64
256,52,1
7,8,32
32,8,32
32,7,128
80,20,128
256,52,16
26,6,64
12,8,64
40,10,256
224,45,1
128,32,16
52,11,32
16,20,64
40,16,64
13,4,256
29,7,64
4,3,128
80,20,64
20,5,512
32,7,64
3,2,64
13,7,64
104,26,32
10,2,64
64,13,64
12,3,128
32,8,64
480,128,8
80,20,64
11,13,64
56,12,32
3,6,64
40,8,64
40,8,64
120,32,32
26,13,64
40,8,64
14,3,128
24,8,64
40,10,32
16,7,64
40,8,64
160,32,64
2,5,512
40,10,256
14,3,128
56,16,64
112,32,64
160,40,64
7,7,64
32,8,32
64,13,64
52,11,32
224,45,16
4,5,256
32,8,32
20,4,64
63,42,8
32,8,32
20,4,64
40,8,32
13,4,256
20,4,64
4,8,32
120,32,32
40,8,64
16,16,16
120,32,32
32,7,64
128,26,32
80,20,64
160,40,16
16,5,64
6,5,64
40,8,64
56,12,64
12,12,32
10,3,128
28,8,64
40,8,64
14,3,128
26,6,64
23,6,128
32,7,128
112,32,16
28,6,128
8,8,64
32,8,32
12,4,64
120,32,32
32,8,32
40,8,64
26,8,32
80,16,64
160,32,16
13,3,256
160,40,64
10,2,64
28,6,128
56,16,32
11,3,128
12,4,64
56,16,32
23,7,64
40,8,64
120,32,32
8,8,64
10,5,128
20,5,256
23,45,16
23,8,32
8,3,256
80,32,64
42,13,64
2,4,64
56,12,64
40,8,64
80,40,16
40,8,32
16,8,64
128,80,1
160,32,64
160,40,64
112,23,32
80,16,64
40,8,64
20,4,128
120,32,32
26,6,64
32,8,32
64,32,64
12,4,256
160,32,64
10,2,64
13,6,64
10,2,64
7,8,32
48,16,64
160,32,64
32,8,38
80,16,32
13,3,128
40,10,128
10,2,64
40,8,64
20,10,256
72,32,32
32,32,16
7,2,64
16,8,32
84,32,32
80,16,64
16,5,128
13,8,32
5,2,64
104,26,32
80,16,32
16,8,32
12,3,256
10,2,64
13,3,128
2,5,64
40,10,128
9,3,128
24,8,64
160,40,64
26,6,64
157,45,16
4,3,256
120,32,32
32,8,32
80,16,16
32,8,32
8,8,64
24,32,32
20,5,128
20,4,64
120,32,32
8,4,128
40,8,64
56,12,64
10,2,64
14,4,64
224,45,1
72,32,32
32,8,128
56,12,32
56,12,64
40,10,256
10,2,64
20,5,512
160,32,64
6,12,64
56,20,16
480,128,8
8,3,128
13,6,64
5,3,128
13,8,32
104,21,16
52,52,1
160,32,64
32,8,32
64,13,64
64,13,64
16,16,64
10,2,64
12,8,64
20,5,256
13,3,128
240,64,16
13,3,128
120,32,32
256,52,16
13,8,32
157,45,1
40,16,64
40,10,128
160,32,16
205,52,1
4,5,64
10,2,64
28,8,64
12,32,32
4,4,64
28,12,32
16,16,64
26,13,32
32,8,32
32,8,32
6,11,32
14,3,128
32,8,32
32,7,128
40,8,64
32,8,32
32,16,32
40,8,64
72,16,64
160,40,16
34,23,32
80,16,64
29,7,64
320,80,1
10,3,128
3,4,256
32,8,32
14,3,128
20,8,32
20,4,64
80,32,64
13,3,128
112,23,32
13,3,128
32,7,64
32,8,32
256,52,1
26,6,64
26,6,64
13,7,64
10,2,64
480,128,8
28,6,128
10,2,64
8,8,64
20,4,64
20,5,64
40,8,64
28,8,64
80,20,64
28,10,32
20,4,64
80,20,128
40,8,64
160,80,1
20,4,64
80,16,32
6,3,128
104,26,32
26,7,128
20,4,64
18,5,128
16,7,64
80,32,16
14,4,64
72,32,32
26,7,128
20,5,128
120,32,32
480,128,8
480,128,8
32,8,32
32,7,64
77,52,16
36,8,64
4,8,64
16,4,128
80,16,64
120,32,32
128,26,16
64,16,32
160,32,64
40,10,256
34,12,64
104,26,32
6,2,64
28,8,64
40,8,64
160,32,64
6,4,64
7,2,64
288,160,1
72,16,16
256,52,16
180,45,1
40,8,64
16,40,16
16,16,64
13,3,128
52,13,64
32,7,64
120,32,32
13,4,256
26,7,128
32,16,64
24,6,64
32,7,128
20,4,64
80,16,64
80,16,16
10,8,128
480,160,1
40,8,64
20,5,512
160,32,16
40,8,64
416,84,1
64,13,64
4,10,32
26,6,64
80,20,64
32,8,32
26,13,64
104,21,16
36,32,32
24,16,32
320,80,1
13,3,128
60,32,32
144,32,64
40,10,128
16,20,128
10,2,64
160,32,16
231,52,16
112,23,16
12,3,256
26,6,64
11,3,128
40,10,64
160,40,16
28,8,64
52,13,64
48,160,8
32,8,38
480,160,8
160,32,64
52,13,64
96,32,32
32,8,32
29,8,32
8,4,256
160,32,64
20,10,128
32,8,32
23,23,32
80,16,64
40,8,64
7,8,38
120,32,32
480,128,8
80,20,32
52,13,64
52,11,32
12,10,32
144,32,64
10,4,64
13,8,32
16,16,32
48,32,64
20,7,64
3,3,256
32,7,128
32,8,32
10,2,64
4,7,64
96,40,16
10,2,64
40,8,64
13,3,128
40,8,64
6,2,64
48,40,16
104,21,16
4,8,32
16,7,128
3,2,64
32,7,64
6,4,256
7,8,32
40,20,32
20,4,64
40,10,32
11,3,256
64,13,32
80,20,64
12,5,512
80,16,64
32,8,38
20,5,256
26,8,128
4,8,32
32,40,16
40,8,64
32,7,64
14,4,64
80,20,32
320,80,1
13,3,256
224,45,1
48,32,32
104,21,16
28,6,128
80,16,64
1,2,64
26,8,32
36,8,64
256,52,1
19,6,64
32,8,32
28,6,64
11,11,32
10,2,64
32,8,32
24,20,32
432,128,8
20,8,64
6,4,64
21,13,64
128,32,64
192,160,8
32,8,38
4,3,128
13,3,384
56,12,32
180,52,1
80,16,64
32,8,32
20,10,32
32,8,32
72,64,16
80,16,32
128,26,16
240,64,16
40,10,128
8,3,256
79,23,16
40,8,64
13,3,256
56,12,64
36,8,64
40,10,128
8,10,32
240,64,16
