OH,OWB,ICB
14,3,128
80,32,64
13,8,32
13,3,256
160,32,16
64,13,64
14,3,128
40,8,64
4,4,64
160,40,16
6,3,384
80,16,64
84,42,8
16,20,64
32,7,128
16,40,16
80,20,64
224,45,16
52,26,32
10,2,64
120,32,32
40,10,64
128,26,32
80,16,32
6,7,128
128,32,16
80,16,64
18,5,512
40,10,128
60,32,32
68,45,1
2,3,128
40,8,64
16,32,64
80,16,64
160,32,64
24,10,128
8,4,64
52,13,64
8,4,64
101,23,16
13,3,128
18,4,64
32,8,32
120,32,32
40,8,64
20,5,256
80,16,64
32,8,32
146,42,8
32,7,128
16,8,128
40,8,64
256,52,16
112,32,64
14,3,128
80,16,32
224,45,1
4,8,32
80,20,16
12,32,32
40,8,64
32,13,32
64,20,64
48,20,64
2,4,64
20,13,32
80,16,64
48,40,64
32,7,64
80,16,64
3,6,128
20,13,64
64,13,32
26,6,64
32,8,32
40,8,64
13,3,384
11,21,16
24,16,32
160,32,16
24,8,32
7,7,64
96,32,32
96,128,8
28,8,32
160,32,64
21,7,128
48,20,64
20,4,64
2,2,64
80,16,64
128,32,64
120,32,32
6,3,128
13,3,128
32,7,64
104,21,16
29,8,32
104,21,16
