OH,OWB,ICB,OCB
160,40,16,16
160,40,16,16
160,40,16,16
20,5,256,90
20,5,256,90
20,5,256,90
96,32,32,32
96,32,32,32
96,32,32,32
10,2,64,29
10,2,64,29
10,2,64,29
128,32,64,16
128,32,64,16
128,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
4,8,32,32
4,8,32,32
4,8,32,32
104,42,8,16
104,42,8,16
104,42,8,16
40,8,64,32
40,8,64,32
40,8,64,32
10,4,64,16
10,4,64,16
10,4,64,16
13,8,32,128
13,8,32,128
13,8,32,128
13,4,256,180
13,4,256,180
13,4,256,180
40,8,32,23
40,8,32,23
40,8,32,23
1,2,64,16
1,2,64,16
1,2,64,16
6,4,128,128
6,4,128,128
6,4,128,128
10,2,64,7
10,2,64,7
10,2,64,7
26,6,128,128
26,6,128,128
26,6,128,128
12,10,32,128
12,10,32,128
12,10,32,128
72,20,128,32
72,20,128,32
72,20,128,32
20,4,64,16
20,4,64,16
20,4,64,16
224,45,16,7
224,45,16,7
224,45,16,7
64,16,64,64
64,16,64,64
64,16,64,64
26,6,64,52
26,6,64,52
26,6,64,52
80,16,64,10
80,16,64,10
80,16,64,10
4,8,32,32
4,8,32,32
4,8,32,32
32,8,32,32
32,8,32,32
32,8,32,32
94,21,16,32
94,21,16,32
94,21,16,32
80,16,64,1
80,16,64,1
80,16,64,1
13,3,128,128
13,3,128,128
13,3,128,128
13,8,32,32
13,8,32,32
13,8,32,32
3,4,256,128
3,4,256,128
3,4,256,128
32,8,32,16
32,8,32,16
32,8,32,16
3,3,128,256
3,3,128,256
3,3,128,256
40,12,64,64
40,12,64,64
40,12,64,64
20,4,64,2
20,4,64,2
20,4,64,2
13,3,256,231
13,3,256,231
13,3,256,231
10,2,64,3
10,2,64,3
10,2,64,3
13,3,128,103
13,3,128,103
13,3,128,103
48,160,1,8
48,160,1,8
48,160,1,8
16,5,512,64
16,5,512,64
16,5,512,64
224,45,16,5
224,45,16,5
224,45,16,5
32,8,38,10
32,8,38,10
32,8,38,10
104,26,32,5
104,26,32,5
104,26,32,5
40,8,64,58
40,8,64,58
40,8,64,58
40,10,64,128
40,10,64,128
40,10,64,128
28,6,64,13
28,6,64,13
28,6,64,13
112,32,16,16
112,32,16,16
112,32,16,16
20,10,128,64
20,10,128,64
20,10,128,64
32,7,64,58
32,7,64,58
32,7,64,58
480,160,1,1
480,160,1,1
480,160,1,1
16,4,128,128
16,4,128,128
16,4,128,128
20,4,64,7
20,4,64,7
20,4,64,7
64,13,64,26
64,13,64,26
64,13,64,26
2,4,256,128
2,4,256,128
2,4,256,128
28,10,128,64
28,10,128,64
28,10,128,64
16,5,256,512
16,5,256,512
16,5,256,512
8,10,128,64
8,10,128,64
8,10,128,64
40,8,64,13
40,8,64,13
40,8,64,13
16,8,32,6
16,8,32,6
16,8,32,6
28,6,64,128
28,6,64,128
28,6,64,128
160,32,64,32
160,32,64,32
160,32,64,32
40,8,64,26
40,8,64,26
40,8,64,26
26,6,64,64
26,6,64,64
26,6,64,64
12,32,32,32
12,32,32,32
12,32,32,32
80,16,64,3
80,16,64,3
80,16,64,3
36,8,64,64
36,8,64,64
36,8,64,64
160,32,64,15
160,32,64,15
160,32,64,15
10,2,64,2
10,2,64,2
10,2,64,2
16,10,128,64
16,10,128,64
16,10,128,64
20,4,64,26
20,4,64,26
20,4,64,26
120,32,32,13
120,32,32,13
120,32,32,13
10,4,256,256
10,4,256,256
10,4,256,256
32,32,64,64
32,32,64,64
32,32,64,64
10,2,64,2
10,2,64,2
10,2,64,2
13,4,256,103
13,4,256,103
13,4,256,103
77,26,32,32
77,26,32,32
77,26,32,32
48,40,16,64
48,40,16,64
48,40,16,64
52,13,64,29
52,13,64,29
52,13,64,29
28,8,64,64
28,8,64,64
28,8,64,64
20,5,512,77
20,5,512,77
20,5,512,77
128,26,32,26
128,26,32,26
128,26,32,26
20,4,64,13
20,4,64,13
20,4,64,13
64,13,64,20
64,13,64,20
64,13,64,20
19,6,64,128
19,6,64,128
19,6,64,128
40,8,32,32
40,8,32,32
40,8,32,32
56,12,32,45
56,12,32,45
56,12,32,45
160,40,16,5
160,40,16,5
160,40,16,5
14,5,256,512
14,5,256,512
14,5,256,512
32,16,32,32
32,16,32,32
32,16,32,32
24,6,64,128
24,6,64,128
24,6,64,128
32,8,32,4
32,8,32,4
32,8,32,4
160,40,64,32
160,40,64,32
160,40,64,32
26,6,64,128
26,6,64,128
26,6,64,128
90,23,32,32
90,23,32,32
90,23,32,32
120,32,32,4
120,32,32,4
120,32,32,4
160,32,64,23
160,32,64,23
160,32,64,23
28,6,128,116
28,6,128,116
28,6,128,116
36,10,64,256
36,10,64,256
36,10,64,256
20,4,64,1
20,4,64,1
20,4,64,1
80,16,64,7
80,16,64,7
80,16,64,7
10,2,64,15
10,2,64,15
10,2,64,15
72,16,64,64
72,16,64,64
72,16,64,64
28,6,64,64
28,6,64,64
28,6,64,64
20,4,64,12
20,4,64,12
20,4,64,12
104,26,32,8
104,26,32,8
104,26,32,8
26,6,64,128
26,6,64,128
26,6,64,128
20,4,128,52
20,4,128,52
20,4,128,52
29,7,64,64
29,7,64,64
29,7,64,64
20,5,512,39
20,5,512,39
20,5,512,39
16,16,64,16
16,16,64,16
16,16,64,16
10,4,128,128
10,4,128,128
10,4,128,128
13,3,384,52
13,3,384,52
13,3,384,52
14,3,128,90
14,3,128,90
14,3,128,90
3,2,64,2
3,2,64,2
3,2,64,2
48,32,32,32
48,32,32,32
48,32,32,32
120,32,32,20
120,32,32,20
120,32,32,20
63,21,16,32
63,21,16,32
63,21,16,32
1,2,64,2
1,2,64,2
1,2,64,2
128,26,16,7
128,26,16,7
128,26,16,7
40,10,128,58
40,10,128,58
40,10,128,58
14,3,128,103
14,3,128,103
14,3,128,103
16,6,64,128
16,6,64,128
16,6,64,128
40,8,64,20
40,8,64,20
40,8,64,20
72,32,32,32
72,32,32,32
72,32,32,32
40,8,64,58
40,8,64,58
40,8,64,58
52,26,32,32
52,26,32,32
