OH,OWB,ICB,OCB
224,45,16,16
13,3,256,154
10,2,64,3
4,4,128,128
160,32,16,8
3,4,256,128
80,20,32,64
23,8,38,32
40,10,128,231
40,16,32,32
4,5,512,128
14,3,128,103
160,32,64,29
160,40,16,64
40,8,64,3
6,3,256,256
4,10,128,64
40,10,128,13
60,32,32,32
20,4,128,26
10,5,64,256
7,7,64,128
40,8,64,2
96,32,16,16
20,5,256,154
40,20,64,64
104,21,16,13
36,8,64,3
13,4,256,128
104,26,32,16
120,32,32,26
120,32,32,13
20,4,128,128
144,32,64,32
80,16,32,13
10,5,256,128
14,3,128,128
24,20,16,64
26,8,32,32
120,32,32,13
416,84,1,6
160,32,64,2
32,8,32,26
13,8,32,32
21,7,128,64
40,8,64,64
240,64,16,20
10,8,38,32
16,4,64,2
12,8,64,64
40,8,64,32
20,4,64,1
16,7,64,32
96,32,64,2
32,8,32,32
64,13,64,32
14,3,128,128
10,8,32,32
120,32,32,29
80,16,64,2
20,4,64,1
52,11,32,64
80,16,64,13
256,52,16,16
80,16,32,4
16,5,64,256
32,8,32,2
108,32,32,32
56,20,16,64
224,45,1,13
160,32,16,13
6,4,64,3
160,40,64,39
120,32,32,26
20,13,64,64
32,8,32,6
32,7,64,32
32,7,128,64
480,160,8,1
112,45,1,16
8,4,128,128
32,32,64,2
64,13,64,26
26,6,64,52
32,7,64,128
160,32,64,3
160,32,64,7
13,3,128,256
112,32,64,2
20,4,64,52
23,6,128,128
40,20,16,64
13,3,128,26
45,23,32,32
208,42,8,10
112,23,32,16
10,3,128,256
160,40,64,13
80,16,32,7
32,7,64,64
32,8,128,1
32,32,64,64
80,16,32,16
208,84,1,8
7,8,38,32
10,7,64,64
8,7,128,64
20,5,512,64
16,20,64,32
8,20,64,128
23,8,32,6
40,8,64,32
26,6,64,103
4,4,64,64
104,26,32,2
160,32,64,3
13,7,64,64
16,8,32,32
104,21,16,26
26,6,64,128
26,26,16,32
40,8,64,45
24,10,128,64
20,4,64,26
160,40,64,12
23,8,32,32
20,4,64,2
29,8,32,32
28,8,64,64
256,52,16,15
6,7,128,64
4,8,32,32
144,160,1,8
14,4,64,64
6,4,128,128
56,20,64,128
80,16,64,2
32,8,32,13
40,8,64,2
32,8,32,1
52,26,32,16
2,3,256,256
120,32,32,32
80,16,64,16
120,32,32,32
8,4,64,16
84,32,32,32
80,16,64,10
9,3,128,128
8,8,64,3
120,32,32,7
14,3,128,90
13,3,128,256
52,11,32,52
120,32,32,23
20,6,128,128
160,32,64,26
80,16,64,64
56,23,16,32
40,16,64,16
26,8,32,32
4,7,64,64
26,8,32,32
12,8,64,64
40,8,64,20
288,128,8,16
