OH,OWB,ICB
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
32,8,38
32,8,38
32,8,38
32,8,38
32,8,38
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
116,26,16
116,26,16
116,26,16
116,26,16
116,26,16
20,5,256
20,5,256
20,5,256
20,5,256
20,5,256
80,16,64
80,16,64
80,16,64
80,16,64
80,16,64
6,2,64
6,2,64
6,2,64
6,2,64
6,2,64
32,32,64
32,32,64
32,32,64
32,32,64
32,32,64
80,20,128
80,20,128
80,20,128
80,20,128
80,20,128
28,6,128
28,6,128
28,6,128
28,6,128
28,6,128
8,10,256
8,10,256
8,10,256
8,10,256
8,10,256
42,11,32
42,11,32
42,11,32
42,11,32
42,11,32
36,8,64
36,8,64
36,8,64
36,8,64
36,8,64
20,4,64
20,4,64
20,4,64
20,4,64
20,4,64
40,10,32
40,10,32
40,10,32
40,10,32
40,10,32
40,10,128
40,10,128
40,10,128
40,10,128
40,10,128
2,4,64
2,4,64
2,4,64
2,4,64
2,4,64
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
128,32,64
128,32,64
128,32,64
128,32,64
128,32,64
40,10,64
40,10,64
40,10,64
40,10,64
40,10,64
20,4,128
20,4,128
20,4,128
20,4,128
20,4,128
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
17,12,64
17,12,64
17,12,64
17,12,64
17,12,64
48,16,64
48,16,64
48,16,64
48,16,64
48,16,64
10,8,38
10,8,38
10,8,38
10,8,38
10,8,38
72,20,128
72,20,128
72,20,128
72,20,128
72,20,128
18,4,64
18,4,64
18,4,64
18,4,64
18,4,64
20,10,256
20,10,256
20,10,256
20,10,256
20,10,256
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
64,20,64
64,20,64
64,20,64
64,20,64
64,20,64
160,40,64
160,40,64
160,40,64
160,40,64
160,40,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
40,10,256
40,10,256
40,10,256
40,10,256
40,10,256
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
144,40,16
144,40,16
144,40,16
144,40,16
144,40,16
8,8,64
8,8,64
8,8,64
8,8,64
8,8,64
6,2,64
6,2,64
6,2,64
6,2,64
6,2,64
52,11,32
52,11,32
52,11,32
52,11,32
52,11,32
480,160,1
480,160,1
480,160,1
480,160,1
480,160,1
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
40,16,64
40,16,64
40,16,64
40,16,64
40,16,64
32,7,128
32,7,128
32,7,128
32,7,128
32,7,128
12,23,32
12,23,32
12,23,32
12,23,32
12,23,32
40,8,32
40,8,32
40,8,32
40,8,32
40,8,32
20,5,256
20,5,256
20,5,256
20,5,256
20,5,256
19,7,128
19,7,128
19,7,128
19,7,128
19,7,128
12,8,64
12,8,64
12,8,64
12,8,64
12,8,64
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
12,6,64
12,6,64
12,6,64
12,6,64
12,6,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
23,45,1
23,45,1
23,45,1
23,45,1
23,45,1
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
480,160,8
480,160,8
480,160,8
480,160,8
480,160,8
14,4,64
14,4,64
14,4,64
14,4,64
14,4,64
64,13,64
64,13,64
64,13,64
64,13,64
64,13,64
112,23,32
112,23,32
112,23,32
112,23,32
112,23,32
10,4,128
10,4,128
10,4,128
10,4,128
10,4,128
96,32,32
96,32,32
96,32,32
96,32,32
96,32,32
