OH,OWB,ICB
37,11,32
37,11,32
37,11,32
37,11,32
37,11,32
216,64,16
216,64,16
216,64,16
216,64,16
216,64,16
29,7,128
29,7,128
29,7,128
29,7,128
29,7,128
56,12,32
56,12,32
56,12,32
56,12,32
56,12,32
96,32,32
96,32,32
96,32,32
96,32,32
96,32,32
80,20,16
80,20,16
80,20,16
80,20,16
80,20,16
4,8,38
4,8,38
4,8,38
4,8,38
4,8,38
5,3,128
5,3,128
5,3,128
5,3,128
5,3,128
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
28,6,128
28,6,128
28,6,128
28,6,128
28,6,128
23,6,128
23,6,128
23,6,128
23,6,128
23,6,128
20,13,64
20,13,64
20,13,64
20,13,64
20,13,64
52,11,32
52,11,32
52,11,32
52,11,32
52,11,32
13,4,256
13,4,256
13,4,256
13,4,256
13,4,256
160,40,16
160,40,16
160,40,16
160,40,16
160,40,16
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
12,3,256
12,3,256
12,3,256
12,3,256
12,3,256
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
80,20,64
80,20,64
80,20,64
80,20,64
80,20,64
240,64,16
240,64,16
240,64,16
240,64,16
240,64,16
12,32,32
12,32,32
12,32,32
12,32,32
12,32,32
13,8,32
13,8,32
13,8,32
13,8,32
13,8,32
28,12,32
28,12,32
28,12,32
28,12,32
28,12,32
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
4,8,32
4,8,32
4,8,32
4,8,32
4,8,32
336,160,8
336,160,8
336,160,8
336,160,8
336,160,8
32,11,32
32,11,32
32,11,32
32,11,32
32,11,32
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
80,16,64
80,16,64
80,16,64
80,16,64
80,16,64
24,16,64
24,16,64
24,16,64
24,16,64
24,16,64
20,4,128
20,4,128
20,4,128
20,4,128
20,4,128
2,5,64
2,5,64
2,5,64
2,5,64
2,5,64
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
16,8,32
16,8,32
16,8,32
16,8,32
16,8,32
1,2,64
1,2,64
1,2,64
1,2,64
1,2,64
160,80,1
160,80,1
160,80,1
160,80,1
160,80,1
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
80,20,32
80,20,32
80,20,32
80,20,32
80,20,32
6,6,64
6,6,64
6,6,64
6,6,64
6,6,64
32,8,64
32,8,64
32,8,64
32,8,64
32,8,64
18,5,128
18,5,128
18,5,128
18,5,128
18,5,128
7,3,128
7,3,128
7,3,128
7,3,128
7,3,128
14,5,256
14,5,256
14,5,256
14,5,256
14,5,256
64,13,64
64,13,64
64,13,64
64,13,64
64,13,64
23,8,32
23,8,32
23,8,32
23,8,32
23,8,32
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
80,20,64
80,20,64
80,20,64
80,20,64
80,20,64
80,20,64
80,20,64
80,20,64
80,20,64
80,20,64
160,40,64
160,40,64
160,40,64
160,40,64
160,40,64
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
16,5,256
16,5,256
16,5,256
16,5,256
16,5,256
32,7,64
32,7,64
32,7,64
32,7,64
32,7,64
240,64,16
240,64,16
240,64,16
240,64,16
240,64,16
208,42,8
208,42,8
208,42,8
208,42,8
208,42,8
26,8,32
26,8,32
26,8,32
26,8,32
26,8,32
144,40,64
144,40,64
144,40,64
144,40,64
144,40,64
12,6,128
12,6,128
12,6,128
12,6,128
12,6,128
8,4,128
8,4,128
8,4,128
8,4,128
8,4,128
4,7,64
4,7,64
4,7,64
4,7,64
4,7,64
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
112,23,16
112,23,16
112,23,16
112,23,16
112,23,16
16,5,512
16,5,512
16,5,512
16,5,512
16,5,512
20,4,64
20,4,64
20,4,64
20,4,64
20,4,64
2,2,64
2,2,64
2,2,64
2,2,64
2,2,64
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
1,2,64
1,2,64
1,2,64
1,2,64
1,2,64
240,128,8
240,128,8
240,128,8
240,128,8
240,128,8
52,11,32
52,11,32
52,11,32
52,11,32
52,11,32
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
80,20,64
80,20,64
80,20,64
80,20,64
80,20,64
160,40,64
160,40,64
160,40,64
160,40,64
160,40,64
24,16,64
24,16,64
24,16,64
24,16,64
24,16,64
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
80,20,128
80,20,128
80,20,128
80,20,128
80,20,128
416,84,1
416,84,1
416,84,1
416,84,1
416,84,1
160,40,64
160,40,64
160,40,64
160,40,64
160,40,64
24,8,64
24,8,64
24,8,64
24,8,64
24,8,64
73,26,32
73,26,32
73,26,32
73,26,32
73,26,32
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
21,6,64
21,6,64
21,6,64
21,6,64
21,6,64
26,6,64
26,6,64
26,6,64
26,6,64
26,6,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
72,20,16
72,20,16
72,20,16
72,20,16
72,20,16
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
45,12,64
45,12,64
45,12,64
45,12,64
45,12,64
2,2,64
2,2,64
2,2,64
2,2,64
2,2,64
28,12,64
28,12,64
28,12,64
28,12,64
28,12,64
56,12,32
56,12,32
56,12,32
56,12,32
56,12,32
8,16,32
8,16,32
8,16,32
8,16,32
8,16,32
6,2,64
6,2,64
6,2,64
6,2,64
6,2,64
29,8,32
29,8,32
29,8,32
29,8,32
29,8,32
16,7,64
16,7,64
16,7,64
16,7,64
16,7,64
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
20,4,128
20,4,128
20,4,128
20,4,128
20,4,128
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
20,4,128
20,4,128
20,4,128
20,4,128
20,4,128
40,10,32
40,10,32
40,10,32
40,10,32
40,10,32
16,32,16
16,32,16
16,32,16
16,32,16
16,32,16
240,160,8
240,160,8
240,160,8
240,160,8
240,160,8
4,4,64
4,4,64
4,4,64
4,4,64
4,4,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
20,4,64
20,4,64
20,4,64
20,4,64
20,4,64
40,10,64
40,10,64
40,10,64
40,10,64
40,10,64
96,32,32
96,32,32
96,32,32
96,32,32
96,32,32
40,10,64
40,10,64
40,10,64
40,10,64
40,10,64
39,13,64
39,13,64
39,13,64
39,13,64
39,13,64
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
14,6,64
14,6,64
14,6,64
14,6,64
14,6,64
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
13,6,64
13,6,64
13,6,64
13,6,64
13,6,64
9,3,128
9,3,128
9,3,128
9,3,128
9,3,128
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
28,8,64
28,8,64
28,8,64
28,8,64
28,8,64
32,26,32
32,26,32
32,26,32
32,26,32
32,26,32
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
52,13,64
52,13,64
52,13,64
52,13,64
52,13,64
10,8,32
10,8,32
10,8,32
10,8,32
10,8,32
4,3,256
4,3,256
4,3,256
4,3,256
4,3,256
24,8,64
24,8,64
24,8,64
24,8,64
24,8,64
80,16,64
80,16,64
80,16,64
80,16,64
80,16,64
160,40,16
160,40,16
160,40,16
160,40,16
160,40,16
80,16,32
80,16,32
80,16,32
80,16,32
80,16,32
480,160,8
480,160,8
480,160,8
480,160,8
480,160,8
32,8,38
32,8,38
32,8,38
32,8,38
32,8,38
20,10,128
20,10,128
20,10,128
20,10,128
20,10,128
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
52,11,32
52,11,32
52,11,32
52,11,32
52,11,32
8,5,512
8,5,512
8,5,512
8,5,512
8,5,512
256,52,1
256,52,1
256,52,1
256,52,1
256,52,1
68,45,16
68,45,16
68,45,16
68,45,16
68,45,16
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
16,32,16
16,32,16
16,32,16
16,32,16
16,32,16
32,7,64
32,7,64
32,7,64
32,7,64
32,7,64
128,26,16
128,26,16
128,26,16
128,26,16
128,26,16
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
7,2,64
7,2,64
7,2,64
7,2,64
7,2,64
3,3,128
3,3,128
3,3,128
3,3,128
3,3,128
80,16,64
80,16,64
80,16,64
80,16,64
80,16,64
104,26,32
104,26,32
104,26,32
104,26,32
104,26,32
20,10,64
20,10,64
20,10,64
20,10,64
20,10,64
2,3,384
2,3,384
2,3,384
2,3,384
2,3,384
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
80,16,32
80,16,32
80,16,32
80,16,32
80,16,32
26,7,64
26,7,64
26,7,64
26,7,64
26,7,64
80,16,64
80,16,64
80,16,64
80,16,64
80,16,64
144,64,16
144,64,16
144,64,16
144,64,16
144,64,16
45,12,64
45,12,64
45,12,64
45,12,64
45,12,64
18,4,64
18,4,64
18,4,64
18,4,64
18,4,64
56,12,64
56,12,64
56,12,64
56,12,64
56,12,64
32,7,64
32,7,64
32,7,64
32,7,64
32,7,64
23,8,128
23,8,128
23,8,128
23,8,128
23,8,128
28,10,128
28,10,128
28,10,128
28,10,128
28,10,128
8,2,64
8,2,64
8,2,64
8,2,64
8,2,64
13,26,32
13,26,32
13,26,32
13,26,32
13,26,32
16,4,64
16,4,64
16,4,64
16,4,64
16,4,64
40,10,128
40,10,128
40,10,128
40,10,128
40,10,128
4,5,256
4,5,256
4,5,256
4,5,256
4,5,256
3,2,64
3,2,64
3,2,64
3,2,64
3,2,64
96,32,64
96,32,64
96,32,64
96,32,64
96,32,64
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
32,8,38
32,8,38
32,8,38
32,8,38
32,8,38
28,6,128
28,6,128
28,6,128
28,6,128
28,6,128
104,26,32
104,26,32
104,26,32
104,26,32
104,26,32
13,3,128
13,3,128
13,3,128
13,3,128
13,3,128
26,6,64
26,6,64
26,6,64
26,6,64
26,6,64
256,52,1
256,52,1
256,52,1
256,52,1
256,52,1
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
80,16,64
80,16,64
80,16,64
80,16,64
80,16,64
5,2,64
5,2,64
5,2,64
5,2,64
5,2,64
28,6,128
28,6,128
28,6,128
28,6,128
28,6,128
56,12,32
56,12,32
56,12,32
56,12,32
56,12,32
20,8,64
20,8,64
20,8,64
20,8,64
20,8,64
416,84,1
416,84,1
416,84,1
416,84,1
416,84,1
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
80,16,16
80,16,16
80,16,16
80,16,16
80,16,16
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
26,7,128
26,7,128
26,7,128
26,7,128
26,7,128
13,3,128
13,3,128
13,3,128
13,3,128
13,3,128
90,23,32
90,23,32
90,23,32
90,23,32
90,23,32
80,16,64
80,16,64
80,16,64
80,16,64
80,16,64
26,7,128
26,7,128
26,7,128
26,7,128
26,7,128
6,4,256
6,4,256
6,4,256
6,4,256
6,4,256
64,13,32
64,13,32
64,13,32
64,13,32
64,13,32
24,10,128
24,10,128
24,10,128
24,10,128
24,10,128
20,4,64
20,4,64
20,4,64
20,4,64
20,4,64
36,10,128
36,10,128
36,10,128
36,10,128
36,10,128
240,64,16
240,64,16
240,64,16
240,64,16
240,64,16
104,21,16
104,21,16
104,21,16
104,21,16
104,21,16
8,4,64
8,4,64
8,4,64
8,4,64
8,4,64
28,6,128
28,6,128
28,6,128
28,6,128
28,6,128
29,8,32
29,8,32
29,8,32
29,8,32
29,8,32
20,5,128
20,5,128
20,5,128
20,5,128
20,5,128
32,8,38
32,8,38
32,8,38
32,8,38
32,8,38
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
6,11,32
6,11,32
6,11,32
6,11,32
6,11,32
8,2,64
8,2,64
8,2,64
8,2,64
8,2,64
16,16,32
16,16,32
16,16,32
16,16,32
16,16,32
56,12,64
56,12,64
56,12,64
56,12,64
56,12,64
16,32,64
16,32,64
16,32,64
16,32,64
16,32,64
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
64,32,64
64,32,64
64,32,64
64,32,64
64,32,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
32,8,64
32,8,64
32,8,64
32,8,64
32,8,64
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
16,4,128
16,4,128
16,4,128
16,4,128
16,4,128
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
13,7,128
13,7,128
13,7,128
13,7,128
13,7,128
13,3,384
13,3,384
13,3,384
13,3,384
13,3,384
20,4,64
20,4,64
20,4,64
20,4,64
20,4,64
60,32,32
60,32,32
60,32,32
60,32,32
60,32,32
26,13,64
26,13,64
26,13,64
26,13,64
26,13,64
416,84,1
416,84,1
416,84,1
416,84,1
416,84,1
80,40,16
80,40,16
80,40,16
80,40,16
80,40,16
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
256,52,1
256,52,1
256,52,1
256,52,1
256,52,1
36,32,32
36,32,32
36,32,32
36,32,32
36,32,32
52,13,64
52,13,64
52,13,64
52,13,64
52,13,64
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
16,16,32
16,16,32
16,16,32
16,16,32
16,16,32
480,128,8
480,128,8
480,128,8
480,128,8
480,128,8
13,4,256
13,4,256
13,4,256
13,4,256
13,4,256
16,4,64
16,4,64
16,4,64
16,4,64
16,4,64
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
12,6,128
12,6,128
12,6,128
12,6,128
12,6,128
80,16,64
80,16,64
80,16,64
80,16,64
80,16,64
2,4,64
2,4,64
2,4,64
2,4,64
2,4,64
32,7,64
32,7,64
32,7,64
32,7,64
32,7,64
20,4,64
20,4,64
20,4,64
20,4,64
20,4,64
12,32,32
12,32,32
12,32,32
12,32,32
12,32,32
20,4,64
20,4,64
20,4,64
20,4,64
20,4,64
56,16,16
56,16,16
56,16,16
56,16,16
56,16,16
32,8,38
32,8,38
32,8,38
32,8,38
32,8,38
23,7,64
23,7,64
23,7,64
23,7,64
23,7,64
180,45,16
180,45,16
180,45,16
180,45,16
180,45,16
32,8,38
32,8,38
32,8,38
32,8,38
32,8,38
80,16,16
80,16,16
80,16,16
80,16,16
80,16,16
80,16,32
80,16,32
80,16,32
80,16,32
80,16,32
40,10,128
40,10,128
40,10,128
40,10,128
40,10,128
72,32,32
72,32,32
72,32,32
72,32,32
72,32,32
26,6,64
26,6,64
26,6,64
26,6,64
26,6,64
80,16,32
80,16,32
80,16,32
80,16,32
80,16,32
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
4,8,32
4,8,32
4,8,32
4,8,32
4,8,32
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
32,13,64
32,13,64
32,13,64
32,13,64
32,13,64
64,13,64
64,13,64
64,13,64
64,13,64
64,13,64
120,64,16
120,64,16
120,64,16
120,64,16
120,64,16
48,16,32
48,16,32
48,16,32
48,16,32
48,16,32
32,32,64
32,32,64
32,32,64
32,32,64
32,32,64
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
13,8,32
13,8,32
13,8,32
13,8,32
13,8,32
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
40,10,128
40,10,128
40,10,128
40,10,128
40,10,128
7,3,256
7,3,256
7,3,256
7,3,256
7,3,256
13,4,256
13,4,256
13,4,256
13,4,256
13,4,256
32,8,128
32,8,128
32,8,128
32,8,128
32,8,128
20,5,64
20,5,64
20,5,64
20,5,64
20,5,64
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
160,32,16
160,32,16
160,32,16
160,32,16
160,32,16
32,16,32
32,16,32
32,16,32
32,16,32
32,16,32
40,10,128
40,10,128
40,10,128
40,10,128
40,10,128
32,7,64
32,7,64
32,7,64
32,7,64
32,7,64
240,64,16
240,64,16
240,64,16
240,64,16
240,64,16
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
112,23,16
112,23,16
112,23,16
112,23,16
112,23,16
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
6,5,128
6,5,128
6,5,128
6,5,128
6,5,128
13,3,128
13,3,128
13,3,128
13,3,128
13,3,128
480,160,1
480,160,1
480,160,1
480,160,1
480,160,1
8,4,64
8,4,64
8,4,64
8,4,64
8,4,64
80,16,64
80,16,64
80,16,64
80,16,64
80,16,64
292,84,1
292,84,1
292,84,1
292,84,1
292,84,1
10,4,64
10,4,64
10,4,64
10,4,64
10,4,64
20,4,128
20,4,128
20,4,128
20,4,128
20,4,128
28,8,64
28,8,64
28,8,64
28,8,64
28,8,64
11,7,128
11,7,128
11,7,128
11,7,128
11,7,128
32,8,128
32,8,128
32,8,128
32,8,128
32,8,128
160,40,16
160,40,16
160,40,16
160,40,16
160,40,16
16,5,512
16,5,512
16,5,512
16,5,512
16,5,512
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
84,32,32
84,32,32
84,32,32
84,32,32
84,32,32
40,10,128
40,10,128
40,10,128
40,10,128
40,10,128
96,32,64
96,32,64
96,32,64
96,32,64
96,32,64
288,160,8
288,160,8
288,160,8
288,160,8
288,160,8
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
40,10,64
40,10,64
40,10,64
40,10,64
40,10,64
24,20,128
24,20,128
24,20,128
24,20,128
24,20,128
64,20,32
64,20,32
64,20,32
64,20,32
64,20,32
80,20,128
80,20,128
80,20,128
80,20,128
80,20,128
14,3,128
14,3,128
14,3,128
14,3,128
14,3,128
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
8,20,32
8,20,32
8,20,32
8,20,32
8,20,32
8,5,512
8,5,512
8,5,512
8,5,512
8,5,512
1,2,64
1,2,64
1,2,64
1,2,64
1,2,64
32,20,16
32,20,16
32,20,16
32,20,16
32,20,16
20,4,128
20,4,128
20,4,128
20,4,128
20,4,128
52,13,64
52,13,64
52,13,64
52,13,64
52,13,64
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
104,21,16
104,21,16
104,21,16
104,21,16
104,21,16
28,6,64
28,6,64
28,6,64
28,6,64
28,6,64
48,32,32
48,32,32
48,32,32
48,32,32
48,32,32
20,4,128
20,4,128
20,4,128
20,4,128
20,4,128
12,8,64
12,8,64
12,8,64
12,8,64
12,8,64
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
13,3,128
13,3,128
13,3,128
13,3,128
13,3,128
48,32,64
48,32,64
48,32,64
48,32,64
48,32,64
128,26,16
128,26,16
128,26,16
128,26,16
128,26,16
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
6,12,64
6,12,64
6,12,64
6,12,64
6,12,64
9,2,64
9,2,64
9,2,64
9,2,64
9,2,64
32,20,32
32,20,32
32,20,32
32,20,32
32,20,32
32,7,64
32,7,64
32,7,64
32,7,64
32,7,64
160,32,16
160,32,16
160,32,16
160,32,16
160,32,16
4,8,64
4,8,64
4,8,64
4,8,64
4,8,64
20,4,128
20,4,128
20,4,128
20,4,128
20,4,128
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
39,13,64
39,13,64
39,13,64
39,13,64
39,13,64
13,3,128
13,3,128
13,3,128
13,3,128
13,3,128
3,3,128
3,3,128
3,3,128
3,3,128
3,3,128
20,4,128
20,4,128
20,4,128
20,4,128
20,4,128
32,8,38
32,8,38
32,8,38
32,8,38
32,8,38
101,23,32
101,23,32
101,23,32
101,23,32
101,23,32
6,6,64
6,6,64
6,6,64
6,6,64
6,6,64
56,16,32
56,16,32
56,16,32
56,16,32
56,16,32
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
13,4,256
13,4,256
13,4,256
13,4,256
13,4,256
18,4,64
18,4,64
18,4,64
18,4,64
18,4,64
40,10,64
40,10,64
40,10,64
40,10,64
40,10,64
7,8,32
7,8,32
7,8,32
7,8,32
7,8,32
64,13,64
64,13,64
64,13,64
64,13,64
64,13,64
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
40,16,16
40,16,16
40,16,16
40,16,16
40,16,16
20,8,64
20,8,64
20,8,64
20,8,64
20,8,64
144,32,64
144,32,64
144,32,64
144,32,64
144,32,64
23,45,16
23,45,16
23,45,16
23,45,16
23,45,16
16,13,64
16,13,64
16,13,64
16,13,64
16,13,64
13,8,38
13,8,38
13,8,38
13,8,38
13,8,38
21,11,32
21,11,32
21,11,32
21,11,32
21,11,32
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
20,4,64
20,4,64
20,4,64
20,4,64
20,4,64
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
26,6,64
26,6,64
26,6,64
26,6,64
26,6,64
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
11,3,256
11,3,256
11,3,256
11,3,256
11,3,256
26,7,64
26,7,64
26,7,64
26,7,64
26,7,64
64,13,32
64,13,32
64,13,32
64,13,32
64,13,32
13,3,128
13,3,128
13,3,128
13,3,128
13,3,128
26,7,128
26,7,128
26,7,128
26,7,128
26,7,128
13,4,256
13,4,256
13,4,256
13,4,256
13,4,256
24,20,32
24,20,32
24,20,32
24,20,32
24,20,32
160,32,16
160,32,16
160,32,16
160,32,16
160,32,16
56,20,64
56,20,64
56,20,64
56,20,64
56,20,64
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
32,7,64
32,7,64
32,7,64
32,7,64
32,7,64
480,160,8
480,160,8
480,160,8
480,160,8
480,160,8
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
20,4,64
20,4,64
20,4,64
20,4,64
20,4,64
96,32,32
96,32,32
96,32,32
96,32,32
96,32,32
160,32,64
160,32,64
160,32,64
160,32,64
160,32,64
26,6,64
26,6,64
26,6,64
26,6,64
26,6,64
23,7,128
23,7,128
23,7,128
23,7,128
23,7,128
32,8,32
32,8,32
32,8,32
32,8,32
32,8,32
416,84,1
416,84,1
416,84,1
416,84,1
416,84,1
24,8,64
24,8,64
24,8,64
24,8,64
24,8,64
20,8,32
20,8,32
20,8,32
20,8,32
20,8,32
9,2,64
9,2,64
9,2,64
9,2,64
9,2,64
64,13,32
64,13,32
64,13,32
64,13,32
64,13,32
56,20,128
56,20,128
56,20,128
56,20,128
56,20,128
24,8,64
24,8,64
24,8,64
24,8,64
24,8,64
4,8,64
4,8,64
4,8,64
4,8,64
4,8,64
64,13,64
64,13,64
64,13,64
64,13,64
64,13,64
240,160,1
240,160,1
240,160,1
240,160,1
240,160,1
13,3,384
13,3,384
13,3,384
13,3,384
13,3,384
10,2,64
10,2,64
10,2,64
10,2,64
10,2,64
20,4,64
20,4,64
20,4,64
20,4,64
20,4,64
40,10,32
40,10,32
40,10,32
40,10,32
40,10,32
80,20,32
80,20,32
80,20,32
80,20,32
80,20,32
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
45,13,32
45,13,32
45,13,32
45,13,32
45,13,32
23,8,38
23,8,38
23,8,38
23,8,38
23,8,38
6,4,128
6,4,128
6,4,128
6,4,128
6,4,128
39,26,16
39,26,16
39,26,16
39,26,16
39,26,16
28,6,128
28,6,128
28,6,128
28,6,128
28,6,128
72,32,32
72,32,32
72,32,32
72,32,32
72,32,32
40,8,64
40,8,64
40,8,64
40,8,64
40,8,64
112,23,32
112,23,32
112,23,32
112,23,32
112,23,32
24,16,32
24,16,32
24,16,32
24,16,32
24,16,32
120,32,32
120,32,32
120,32,32
120,32,32
120,32,32
80,16,32
80,16,32
80,16,32
80,16,32
256,52,1
256,52,1
256,52,1
256,52,1
23,8,38
