OH,OWB,ICB,OCB
80,16,64,1
80,16,64,1
80,16,64,1
80,16,64,1
80,16,64,1
32,8,32,7
32,8,32,7
32,8,32,7
32,8,32,7
32,8,32,7
2,5,256,128
2,5,256,128
2,5,256,128
2,5,256,128
2,5,256,128
8,4,64,64
8,4,64,64
8,4,64,64
8,4,64,64
8,4,64,64
26,8,32,32
26,8,32,32
26,8,32,32
26,8,32,32
26,8,32,32
10,2,64,2
10,2,64,2
10,2,64,2
10,2,64,2
10,2,64,2
72,32,32,32
72,32,32,32
72,32,32,32
72,32,32,32
72,32,32,32
292,84,1,8
292,84,1,8
292,84,1,8
292,84,1,8
292,84,1,8
9,2,64,32
9,2,64,32
9,2,64,32
9,2,64,32
9,2,64,32
48,32,32,32
48,32,32,32
48,32,32,32
48,32,32,32
48,32,32,32
16,32,64,3
16,32,64,3
16,32,64,3
16,32,64,3
16,32,64,3
32,7,64,32
32,7,64,32
32,7,64,32
32,7,64,32
32,7,64,32
32,26,32,16
32,26,32,16
32,26,32,16
32,26,32,16
32,26,32,16
13,3,384,180
13,3,384,180
13,3,384,180
13,3,384,180
13,3,384,180
10,2,64,2
10,2,64,2
10,2,64,2
10,2,64,2
10,2,64,2
9,2,64,64
9,2,64,64
9,2,64,64
9,2,64,64
9,2,64,64
10,2,64,1
10,2,64,1
10,2,64,1
10,2,64,1
10,2,64,1
7,2,64,64
7,2,64,64
7,2,64,64
7,2,64,64
7,2,64,64
13,13,32,64
13,13,32,64
13,13,32,64
13,13,32,64
13,13,32,64
40,8,64,39
40,8,64,39
40,8,64,39
40,8,64,39
40,8,64,39
16,10,64,256
16,10,64,256
16,10,64,256
16,10,64,256
16,10,64,256
40,8,64,7
40,8,64,7
40,8,64,7
40,8,64,7
40,8,64,7
2,2,64,3
2,2,64,3
2,2,64,3
2,2,64,3
2,2,64,3
256,52,16,15
256,52,16,15
256,52,16,15
256,52,16,15
256,52,16,15
80,16,32,16
80,16,32,16
80,16,32,16
80,16,32,16
80,16,32,16
13,8,32,32
13,8,32,32
13,8,32,32
13,8,32,32
13,8,32,32
14,3,128,26
14,3,128,26
14,3,128,26
14,3,128,26
14,3,128,26
20,7,64,64
20,7,64,64
20,7,64,64
20,7,64,64
20,7,64,64
104,21,16,32
104,21,16,32
104,21,16,32
104,21,16,32
104,21,16,32
16,4,128,128
16,4,128,128
16,4,128,128
16,4,128,128
16,4,128,128
48,20,64,64
48,20,64,64
48,20,64,64
48,20,64,64
48,20,64,64
32,8,32,32
32,8,32,32
32,8,32,32
32,8,32,32
32,8,32,32
10,2,64,2
10,2,64,2
10,2,64,2
10,2,64,2
10,2,64,2
160,40,16,12
160,40,16,12
160,40,16,12
160,40,16,12
160,40,16,12
32,7,64,39
32,7,64,39
32,7,64,39
32,7,64,39
32,7,64,39
160,32,64,8
160,32,64,8
160,32,64,8
160,32,64,8
160,32,64,8
10,2,64,16
10,2,64,16
10,2,64,16
10,2,64,16
10,2,64,16
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
157,45,1,16
40,20,64,128
40,20,64,128
40,20,64,128
40,20,64,128
40,20,64,128
40,10,128,20
40,10,128,20
40,10,128,20
40,10,128,20
40,10,128,20
224,45,1,10
224,45,1,10
224,45,1,10
224,45,1,10
224,45,1,10
13,3,128,256
13,3,128,256
13,3,128,256
13,3,128,256
13,3,128,256
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
2,3,128,128
47,13,64,32
47,13,64,32
47,13,64,32
47,13,64,32
47,13,64,32
40,8,64,64
40,8,64,64
40,8,64,64
40,8,64,64
40,8,64,64
64,13,64,45
64,13,64,45
64,13,64,45
64,13,64,45
64,13,64,45
10,2,64,26
10,2,64,26
10,2,64,26
10,2,64,26
10,2,64,26
256,52,16,13
256,52,16,13
256,52,16,13
256,52,16,13
256,52,16,13
32,8,38,4
32,8,38,4
32,8,38,4
32,8,38,4
32,8,38,4
80,16,32,7
80,16,32,7
80,16,32,7
80,16,32,7
80,16,32,7
384,160,8,1
384,160,8,1
384,160,8,1
384,160,8,1
384,160,8,1
20,4,64,39
20,4,64,39
20,4,64,39
20,4,64,39
20,4,64,39
8,20,64,64
8,20,64,64
8,20,64,64
8,20,64,64
8,20,64,64
32,8,64,64
32,8,64,64
32,8,64,64
32,8,64,64
32,8,64,64
13,7,128,64
13,7,128,64
13,7,128,64
13,7,128,64
13,7,128,64
8,2,64,32
8,2,64,32
8,2,64,32
8,2,64,32
8,2,64,32
45,12,64,64
45,12,64,64
45,12,64,64
45,12,64,64
45,12,64,64
7,8,38,32
7,8,38,32
7,8,38,32
7,8,38,32
7,8,38,32
24,16,32,32
24,16,32,32
24,16,32,32
24,16,32,32
24,16,32,32
8,6,64,128
8,6,64,128
8,6,64,128
8,6,64,128
8,6,64,128
2,2,64,2
2,2,64,2
2,2,64,2
2,2,64,2
2,2,64,2
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
40,8,64,12
40,8,64,12
40,8,64,12
40,8,64,12
40,8,64,12
10,2,64,2
10,2,64,2
10,2,64,2
10,2,64,2
10,2,64,2
16,4,64,3
16,4,64,3
16,4,64,3
16,4,64,3
16,4,64,3
40,8,64,26
40,8,64,26
40,8,64,26
40,8,64,26
40,8,64,26
52,11,32,52
52,11,32,52
52,11,32,52
52,11,32,52
52,11,32,52
112,23,32,32
112,23,32,32
112,23,32,32
112,23,32,32
112,23,32,32
64,32,16,16
64,32,16,16
64,32,16,16
64,32,16,16
64,32,16,16
208,42,8,12
208,42,8,12
208,42,8,12
208,42,8,12
208,42,8,12
80,16,32,29
80,16,32,29
80,16,32,29
80,16,32,29
80,16,32,29
80,16,32,32
80,16,32,32
80,16,32,32
80,16,32,32
80,16,32,32
40,8,64,32
40,8,64,32
40,8,64,32
40,8,64,32
40,8,64,32
20,5,512,64
20,5,512,64
20,5,512,64
20,5,512,64
20,5,512,64
40,8,64,26
40,8,64,26
40,8,64,26
40,8,64,26
40,8,64,26
12,3,128,256
12,3,128,256
12,3,128,256
12,3,128,256
12,3,128,256
28,8,64,16
28,8,64,16
28,8,64,16
28,8,64,16
28,8,64,16
52,11,32,58
52,11,32,58
52,11,32,58
52,11,32,58
52,11,32,58
52,11,32,20
52,11,32,20
52,11,32,20
52,11,32,20
52,11,32,20
28,6,64,116
28,6,64,116
28,6,64,116
28,6,64,116
28,6,64,116
32,8,32,13
32,8,32,13
32,8,32,13
32,8,32,13
32,8,32,13
24,8,64,16
24,8,64,16
24,8,64,16
24,8,64,16
24,8,64,16
20,5,256,13
20,5,256,13
20,5,256,13
20,5,256,13
20,5,256,13
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
13,3,128,205
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
104,21,16,20
104,21,16,20
104,21,16,20
104,21,16,20
104,21,16,20
7,13,64,64
7,13,64,64
7,13,64,64
7,13,64,64
7,13,64,64
120,32,32,20
120,32,32,20
120,32,32,20
120,32,32,20
120,32,32,20
104,21,16,29
104,21,16,29
104,21,16,29
104,21,16,29
104,21,16,29
480,128,8,5
480,128,8,5
480,128,8,5
480,128,8,5
480,128,8,5
320,80,1,10
320,80,1,10
320,80,1,10
320,80,1,10
320,80,1,10
23,12,32,64
23,12,32,64
23,12,32,64
23,12,32,64
23,12,32,64
4,2,64,2
4,2,64,2
4,2,64,2
4,2,64,2
4,2,64,2
29,8,128,6
29,8,128,6
29,8,128,6
29,8,128,6
29,8,128,6
32,7,64,58
32,7,64,58
32,7,64,58
32,7,64,58
32,7,64,58
80,16,32,26
80,16,32,26
80,16,32,26
80,16,32,26
80,16,32,26
80,20,64,116
80,20,64,116
80,20,64,116
80,20,64,116
80,20,64,116
20,4,128,52
20,4,128,52
20,4,128,52
20,4,128,52
20,4,128,52
48,16,64,32
48,16,64,32
48,16,64,32
48,16,64,32
48,16,64,32
20,8,64,64
20,8,64,64
20,8,64,64
20,8,64,64
20,8,64,64
128,26,32,7
128,26,32,7
128,26,32,7
128,26,32,7
128,26,32,7
40,10,32,128
40,10,32,128
40,10,32,128
40,10,32,128
40,10,32,128
160,32,64,1
160,32,64,1
160,32,64,1
160,32,64,1
160,32,64,1
4,4,128,128
4,4,128,128
4,4,128,128
4,4,128,128
4,4,128,128
128,26,16,16
128,26,16,16
128,26,16,16
128,26,16,16
128,26,16,16
4,10,128,256
4,10,128,256
4,10,128,256
4,10,128,256
4,10,128,256
8,20,128,32
8,20,128,32
8,20,128,32
8,20,128,32
8,20,128,32
32,8,32,26
32,8,32,26
32,8,32,26
32,8,32,26
32,8,32,26
32,8,38,32
32,8,38,32
32,8,38,32
32,8,38,32
32,8,38,32
12,32,32,32
12,32,32,32
12,32,32,32
12,32,32,32
12,32,32,32
32,8,32,23
32,8,32,23
32,8,32,23
32,8,32,23
32,8,32,23
32,8,38,16
32,8,38,16
32,8,38,16
32,8,38,16
32,8,38,16
14,4,64,16
14,4,64,16
14,4,64,16
14,4,64,16
14,4,64,16
40,8,64,52
40,8,64,52
40,8,64,52
40,8,64,52
40,8,64,52
10,8,32,32
10,8,32,32
10,8,32,32
10,8,32,32
10,8,32,32
40,8,64,26
40,8,64,26
40,8,64,26
40,8,64,26
40,8,64,26
17,6,128,128
17,6,128,128
17,6,128,128
17,6,128,128
17,6,128,128
80,16,64,2
80,16,64,2
80,16,64,2
80,16,64,2
80,16,64,2
8,4,256,256
8,4,256,256
8,4,256,256
8,4,256,256
8,4,256,256
103,26,32,32
103,26,32,32
103,26,32,32
103,26,32,32
103,26,32,32
250,84,1,8
250,84,1,8
250,84,1,8
250,84,1,8
250,84,1,8
224,45,16,12
224,45,16,12
224,45,16,12
224,45,16,12
224,45,16,12
36,8,64,32
36,8,64,32
36,8,64,32
36,8,64,32
36,8,64,32
112,23,32,32
112,23,32,32
112,23,32,32
112,23,32,32
112,23,32,32
3,6,128,128
3,6,128,128
3,6,128,128
3,6,128,128
3,6,128,128
20,6,128,128
20,6,128,128
20,6,128,128
20,6,128,128
20,6,128,128
160,32,16,13
160,32,16,13
160,32,16,13
160,32,16,13
160,32,16,13
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
120,32,32,32
40,10,256,39
40,10,256,39
40,10,256,39
40,10,256,39
40,10,256,39
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
6,4,64,64
6,4,64,64
6,4,64,64
6,4,64,64
6,4,64,64
7,13,64,64
7,13,64,64
7,13,64,64
7,13,64,64
7,13,64,64
24,6,64,128
24,6,64,128
24,6,64,128
24,6,64,128
24,6,64,128
160,40,64,12
160,40,64,12
160,40,64,12
160,40,64,12
160,40,64,12
64,26,16,32
64,26,16,32
64,26,16,32
64,26,16,32
64,26,16,32
26,8,32,32
26,8,32,32
26,8,32,32
26,8,32,32
26,8,32,32
32,8,32,52
32,8,32,52
32,8,32,52
32,8,32,52
32,8,32,52
20,4,64,52
20,4,64,52
20,4,64,52
20,4,64,52
20,4,64,52
32,40,64,16
32,40,64,16
32,40,64,16
32,40,64,16
32,40,64,16
80,20,32,52
80,20,32,52
80,20,32,52
80,20,32,52
80,20,32,52
40,8,64,64
40,8,64,64
40,8,64,64
40,8,64,64
40,8,64,64
20,4,64,2
20,4,64,2
20,4,64,2
20,4,64,2
20,4,64,2
160,32,64,20
160,32,64,20
160,32,64,20
160,32,64,20
160,32,64,20
160,40,64,7
160,40,64,7
160,40,64,7
160,40,64,7
160,40,64,7
32,7,64,52
32,7,64,52
32,7,64,52
32,7,64,52
32,7,64,52
26,7,128,128
26,7,128,128
26,7,128,128
26,7,128,128
26,7,128,128
14,4,128,128
14,4,128,128
14,4,128,128
14,4,128,128
14,4,128,128
80,20,16,58
80,20,16,58
80,20,16,58
80,20,16,58
80,20,16,58
6,4,64,16
6,4,64,16
6,4,64,16
6,4,64,16
6,4,64,16
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
224,45,16,16
224,45,16,16
224,45,16,16
224,45,16,16
224,45,16,16
80,20,128,7
80,20,128,7
80,20,128,7
80,20,128,7
80,20,128,7
9,6,128,128
9,6,128,128
9,6,128,128
9,6,128,128
9,6,128,128
10,2,64,15
10,2,64,15
10,2,64,15
10,2,64,15
10,2,64,15
80,16,64,52
80,16,64,52
80,16,64,52
80,16,64,52
80,16,64,52
32,8,32,32
32,8,32,32
32,8,32,32
32,8,32,32
32,8,32,32
40,10,128,45
40,10,128,45
40,10,128,45
40,10,128,45
40,10,128,45
24,20,64,64
24,20,64,64
24,20,64,64
24,20,64,64
24,20,64,64
20,4,64,13
20,4,64,13
20,4,64,13
20,4,64,13
20,4,64,13
13,8,32,32
13,8,32,32
13,8,32,32
13,8,32,32
13,8,32,32
32,32,64,2
32,32,64,2
32,32,64,2
32,32,64,2
32,32,64,2
6,2,64,2
6,2,64,2
6,2,64,2
6,2,64,2
6,2,64,2
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
32,32,64,32
32,32,64,32
32,32,64,32
32,32,64,32
32,32,64,32
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
28,6,128,39
120,32,32,29
120,32,32,29
120,32,32,29
120,32,32,29
120,32,32,29
10,2,64,1
10,2,64,1
10,2,64,1
10,2,64,1
10,2,64,1
40,10,128,52
40,10,128,52
40,10,128,52
40,10,128,52
40,10,128,52
10,2,64,1
10,2,64,1
10,2,64,1
10,2,64,1
10,2,64,1
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
40,8,64,58
40,8,64,58
40,8,64,58
40,8,64,58
40,8,64,58
20,4,128,128
20,4,128,128
20,4,128,128
20,4,128,128
20,4,128,128
224,45,16,2
224,45,16,2
224,45,16,2
224,45,16,2
224,45,16,2
12,3,256,256
12,3,256,256
12,3,256,256
12,3,256,256
12,3,256,256
80,16,64,16
80,16,64,16
80,16,64,16
80,16,64,16
80,16,64,16
13,7,128,64
13,7,128,64
13,7,128,64
13,7,128,64
13,7,128,64
13,3,128,256
13,3,128,256
13,3,128,256
13,3,128,256
13,3,128,256
4,8,32,6
4,8,32,6
4,8,32,6
4,8,32,6
4,8,32,6
80,16,16,12
80,16,16,12
80,16,16,12
80,16,16,12
80,16,16,12
26,6,64,103
26,6,64,103
26,6,64,103
26,6,64,103
26,6,64,103
4,8,64,64
4,8,64,64
4,8,64,64
4,8,64,64
4,8,64,64
120,32,32,29
120,32,32,29
120,32,32,29
120,32,32,29
120,32,32,29
48,32,32,32
48,32,32,32
48,32,32,32
48,32,32,32
48,32,32,32
10,3,128,256
10,3,128,256
10,3,128,256
10,3,128,256
10,3,128,256
32,7,64,13
32,7,64,13
32,7,64,13
32,7,64,13
32,7,64,13
8,16,32,32
8,16,32,32
8,16,32,32
8,16,32,32
8,16,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
84,32,32,32
40,8,64,12
40,8,64,12
40,8,64,12
40,8,64,12
40,8,64,12
40,8,32,10
40,8,32,10
40,8,32,10
40,8,32,10
40,8,32,10
14,3,128,13
14,3,128,13
14,3,128,13
14,3,128,13
14,3,128,13
10,2,64,4
10,2,64,4
10,2,64,4
10,2,64,4
10,2,64,4
52,13,64,20
52,13,64,20
52,13,64,20
52,13,64,20
52,13,64,20
128,52,16,16
128,52,16,16
128,52,16,16
128,52,16,16
128,52,16,16
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
96,32,32,32
96,32,32,32
96,32,32,32
96,32,32,32
96,32,32,32
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
160,32,64,2
4,7,64,32
4,7,64,32
4,7,64,32
4,7,64,32
4,7,64,32
28,6,128,13
28,6,128,13
28,6,128,13
28,6,128,13
28,6,128,13
6,4,64,64
6,4,64,64
6,4,64,64
6,4,64,64
6,4,64,64
432,128,8,16
432,128,8,16
432,128,8,16
432,128,8,16
432,128,8,16
40,8,32,32
40,8,32,32
40,8,32,32
40,8,32,32
40,8,32,32
29,8,38,32
29,8,38,32
29,8,38,32
29,8,38,32
29,8,38,32
40,10,128,26
40,10,128,26
40,10,128,26
40,10,128,26
40,10,128,26
160,32,64,64
160,32,64,64
160,32,64,64
160,32,64,64
160,32,64,64
26,6,64,13
26,6,64,13
26,6,64,13
26,6,64,13
26,6,64,13
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
224,45,16,10
224,45,16,10
224,45,16,10
224,45,16,10
224,45,16,10
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
40,8,64,16
80,16,64,64
80,16,64,64
80,16,64,64
80,16,64,64
80,16,64,64
20,5,512,52
20,5,512,52
20,5,512,52
20,5,512,52
20,5,512,52
10,7,64,32
10,7,64,32
10,7,64,32
10,7,64,32
10,7,64,32
120,32,32,20
120,32,32,20
120,32,32,20
120,32,32,20
120,32,32,20
12,4,256,128
12,4,256,128
12,4,256,128
12,4,256,128
12,4,256,128
64,13,64,58
64,13,64,58
64,13,64,58
64,13,64,58
64,13,64,58
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
154,52,16,16
56,20,64,128
56,20,64,128
56,20,64,128
56,20,64,128
56,20,64,128
2,4,64,16
2,4,64,16
2,4,64,16
2,4,64,16
2,4,64,16
40,10,32,13
40,10,32,13
40,10,32,13
40,10,32,13
40,10,32,13
32,10,32,128
32,10,32,128
32,10,32,128
32,10,32,128
32,10,32,128
144,64,16,32
144,64,16,32
144,64,16,32
144,64,16,32
144,64,16,32
160,40,64,26
160,40,64,26
160,40,64,26
160,40,64,26
160,40,64,26
128,40,16,64
128,40,16,64
128,40,16,64
128,40,16,64
128,40,16,64
336,128,8,16
336,128,8,16
336,128,8,16
336,128,8,16
336,128,8,16
104,21,16,32
104,21,16,32
104,21,16,32
104,21,16,32
104,21,16,32
40,10,64,256
40,10,64,256
40,10,64,256
40,10,64,256
40,10,64,256
40,8,64,58
40,8,64,58
40,8,64,58
40,8,64,58
40,8,64,58
20,4,64,2
20,4,64,2
20,4,64,2
20,4,64,2
20,4,64,2
13,4,256,128
13,4,256,128
13,4,256,128
13,4,256,128
13,4,256,128
23,8,32,32
23,8,32,32
23,8,32,32
23,8,32,32
23,8,32,32
28,8,64,2
28,8,64,2
28,8,64,2
28,8,64,2
28,8,64,2
20,4,64,2
20,4,64,2
20,4,64,2
20,4,64,2
20,4,64,2
12,5,256,512
12,5,256,512
12,5,256,512
12,5,256,512
12,5,256,512
23,45,1,16
23,45,1,16
23,45,1,16
23,45,1,16
23,45,1,16
