OH,OWB,ICB,OCB
40,8,64,13
16,4,64,16
32,8,32,32
480,160,1,6
16,10,256,64
8,5,512,128
64,32,64,3
8,5,64,256
208,42,8,8
28,8,64,32
36,8,64,64
240,64,16,32
4,10,128,64
72,32,32,32
52,11,32,26
16,16,32,32
56,20,64,32
23,8,32,32
52,13,64,20
10,8,32,32
120,32,32,16
32,7,64,23
32,7,64,20
14,3,128,52
8,6,64,128
52,11,32,52
20,4,128,64
13,3,256,256
26,7,128,20
12,32,32,32
12,32,32,32
40,10,128,13
7,7,128,128
23,12,32,64
34,23,16,32
32,8,32,103
21,11,32,64
104,21,16,10
231,52,1,16
256,52,16,10
14,3,128,77
32,8,32,52
12,8,64,64
101,23,16,32
16,8,32,128
80,20,32,13
480,128,8,16
256,52,16,13
6,4,64,64
90,45,1,16
80,16,32,23
40,8,64,45
52,11,32,32
160,40,16,16
16,32,64,2
160,40,64,8
80,16,64,32
26,6,64,52
13,4,256,205
108,32,32,32
480,160,1,8
20,4,64,2
26,7,64,64
80,20,128,10
26,8,32,32
256,52,16,7
80,32,16,16
26,13,64,64
51,12,32,64
12,5,64,256
80,16,64,1
104,21,16,7
32,7,128,103
23,45,1,16
40,8,64,45
4,8,32,32
7,7,64,64
120,32,32,32
56,12,32,39
64,16,64,32
160,40,16,64
10,3,128,256
8,4,64,3
104,26,32,12
37,11,32,64
10,2,64,2
160,32,64,64
12,32,32,32
32,8,32,16
32,8,32,32
8,4,64,64
32,8,32,90
36,8,64,64
40,10,128,39
32,8,32,32
40,20,64,128
52,13,64,32
29,8,32,6
80,16,64,2
20,4,64,52
