OH,OWB
40,8
7,7
18,5
12,32
120,32
56,16
3,2
2,2
13,4
79,23
104,26
80,20
24,16
416,84
128,80
32,8
45,12
52,13
3,6
72,16
64,13
32,7
80,16
10,2
32,8
40,8
32,8
208,42
20,4
4,10
40,8
128,26
20,4
40,8
18,4
64,32
2,4
72,20
12,3
7,3
20,4
64,16
12,3
20,8
40,10
64,13
120,32
12,8
20,5
56,12
80,16
26,8
20,4
72,32
23,8
16,32
14,5
32,8
3,3
40,8
48,32
160,40
160,40
2,4
10,8
32,7
11,3
32,7
32,8
3,6
6,5
160,32
120,32
52,26
64,13
128,26
13,3
160,32
8,16
16,32
160,32
160,32
32,8
32,7
10,2
8,4
20,5
333,84
13,8
6,6
40,8
13,4
13,3
13,3
14,3
160,32
2,2
20,5
160,32
72,32
52,13
20,4
120,32
72,20
32,13
160,40
32,8
10,7
80,20
224,45
8,4
40,8
80,16
16,32
32,8
144,160
40,8
24,10
2,5
28,8
4,4
6,2
13,3
40,8
320,80
12,5
80,20
7,8
13,3
19,6
80,16
10,2
128,52
24,16
23,7
13,4
28,6
32,8
26,6
64,40
4,5
12,10
26,6
80,40
120,32
224,45
3,2
14,3
160,40
40,16
16,10
320,80
40,10
120,32
90,45
80,16
14,3
16,8
432,128
68,45
8,4
120,32
13,4
32,8
4,8
80,16
10,2
20,4
32,8
224,45
80,20
20,5
72,16
2,3
48,128
10,2
112,23
40,8
20,4
7,7
64,13
80,20
17,12
80,20
104,21
13,3
10,2
21,42
16,4
23,23
80,20
29,8
80,16
160,32
80,20
80,20
40,8
20,5
40,10
20,4
12,4
23,7
240,64
20,5
16,32
32,8
80,16
12,32
120,32
13,3
8,8
52,26
36,32
80,16
160,40
32,8
8,4
16,8
28,12
160,40
32,7
48,32
32,8
192,160
13,3
13,3
10,7
29,8
12,8
20,5
40,8
40,8
128,26
40,8
120,32
32,32
40,10
7,2
160,32
23,12
16,8
32,7
80,32
20,5
28,6
6,4
224,45
24,32
36,32
32,8
26,6
8,8
120,32
240,160
13,3
20,10
3,3
13,8
48,40
80,16
120,32
16,13
32,8
26,6
160,32
32,8
23,6
40,8
24,8
60,32
20,4
29,7
80,16
160,40
10,7
18,5
120,32
20,5
10,2
10,2
128,26
4,4
160,40
20,5
144,32
13,4
32,7
48,16
13,13
80,20
20,5
336,160
40,8
10,5
160,32
28,8
16,10
13,3
480,160
7,13
80,16
40,8
80,20
8,4
80,16
2,4
10,2
26,6
80,16
120,32
40,8
10,5
128,26
20,4
4,8
120,32
24,32
14,3
7,2
120,32
18,4
160,40
16,4
120,32
12,8
52,13
28,6
56,20
6,5
36,32
20,4
8,6
64,13
13,3
48,32
231,52
13,4
6,4
160,40
20,13
20,5
40,8
256,52
224,45
64,13
101,23
64,32
20,4
13,3
10,2
8,8
7,3
32,20
12,6
120,32
2,4
7,3
4,4
32,8
13,4
40,8
7,2
36,32
20,6
256,52
96,32
84,32
20,4
80,16
32,7
64,13
32,7
26,6
8,3
160,32
4,8
32,32
104,21
80,16
6,6
32,7
112,23
20,6
256,52
6,2
32,7
23,8
6,12
8,20
20,4
4,3
32,8
13,3
26,8
32,10
120,32
34,12
40,10
20,4
52,13
72,16
416,84
160,32
320,80
20,8
40,10
20,4
7,3
128,52
26,7
4,2
34,23
26,7
32,8
157,45
80,20
10,2
120,32
120,32
120,32
4,8
103,26
10,2
4,7
32,32
120,32
8,10
24,10
63,21
104,21
11,3
32,8
160,40
20,5
9,2
80,16
10,2
20,4
480,160
160,40
26,8
80,16
72,16
7,7
26,7
12,32
28,6
11,21
24,32
40,10
23,45
52,13
80,32
23,8
7,8
13,8
96,32
80,20
26,6
160,32
32,7
112,23
40,8
32,8
6,6
40,8
80,20
13,3
16,4
13,3
45,12
16,8
48,16
4,10
13,3
26,6
16,40
416,84
104,21
160,32
20,4
112,23
16,8
96,32
40,16
20,5
52,26
128,32
20,4
21,21
64,13
23,6
256,52
48,40
80,20
128,26
21,21
80,20
40,10
40,10
